Chemical Formula,Space Group Number,Band gap (eV)
CaSmH4,13,0.017
CaTiBr4,13,0.16
CaVF4,13,2.685
CdCuBr4,13,0.001
CdFeF4,13,2.784
CdHgCl4,13,2.181
CdMoF4,13,0.037
CdOsCl4,13,0.332
CdPbBr4,13,2.402
CdPbCl4,13,3.197
CdPbF4,13,3.239
CrH2F,15,0.108
GeHF,216,0.041
GePbF4,13,3.733
HgBCl4,13,0.027
HgPbF4,13,2.052
HoHI2,164,1.763
HoSeCl,216,1.705
HoSeI,216,2.266
HPbBr,216,0.804
InBr2Cl,164,0.336
InCl2F,15,1.924
InH2F,15,0.524
InICl2,164,0.082
InICl2,10,0.685
AgHgCl2,225,0.05
AlHS2,15,1.829
AlSeF,216,0.082
AsBrF4,1,2.365
AsPb2Cl,225,0.304
Ba2AsCl,225,1.074
BaCdI4,13,2.463
BaCN2,15,2.933
BaCuBr4,13,0.01
BaCuBr4,14,0.064
BaHBr,216,3.205
BaHgF4,13,2.687
BaMnCl4,13,2.715
EuMgH4,13,2.933
GaH2Cl,10,2.743
GaH2F,225,0.071
GdBr2F,164,1.822
GdSCl,216,2.003
GdTlF4,13,3.338
BaPbI4,13,2.918
BaSmBr4,13,0.007
BaSnCl4,13,3.43
BaTeO4,13,1.784
BaZnH4,13,1.135
BePbBr4,13,2.093
BeZnI4,13,2.399
BiCl2F,10,3.091
BiClF2,10,3.44
BiHF2,2,2.638
Ca2NCl,225,1.373
Ca2NF,225,2.294
Ca2PF,225,2.416
Ca2TeS,225,0.826
CaEuCl4,13,1.256
CaPbCl4,13,3.677
CaPtCl4,13,0.009
Cs2HBr,15,3.316
Cs2HCl,15,3.38
Cs8SbCl5,15,0.338
CsAlH4,13,4.837
CsAlS2,15,3.392
CsAsI4,13,1.697
CsAuCl2,225,0.372
CsCuCl2,10,1.532
CsDyS2,10,2.644
CsGaH4,13,4.682
CsHgCl2,225,0
CsKH2,15,2.701
CsLaO2,225,1.636
CsLiI2,10,2.442
CsLuO2,15,2.809
CsMnI4,14,0.484
CsSbH2,2,1.543
CsScH4,13,2.282
CsSmCl4,13,4.904
CsTb5O8,12,3.651
CsTbI4,13,3.126
CsTlCl2,10,2.353
CsVF4,2,2.569
CsYI4,13,2.205
DyBrF2,225,2.848
DyCl2F,225,3.304
DyCuCl4,14,2.572
DyH2Br,10,2.344
DyH2Cl,15,1.871
DyHgCl4,13,0
DyHgF4,13,0.021
DySBr,216,2.729
DySeI,216,2.244
ErAlN2,15,1.511
ErH2Cl,191,0.035
ErHgCl4,13,0.258
ErHO,216,3.852
ErNbO4,13,3.228
ErSbO4,13,2.371
ErSeBr,216,1.135
