Chemical Formula,Space Group Number,Band gap (eV)
EuMg,1,2.985
Cs2InHBr6,1,2.746
CsNdO2,1,2.552
K2Ge2Br7,1,2.642
BaCo5,1,0
MnF2,1,2.737
DyCoSn,1,0
Mg2TaN3,1,2.662
Rb3CrF6,1,3.1
Ta2N,1,2.547
Be5Pd,1,2.988
InHO2,1,2.38
K2RbMn2F6,1,2.8
GdOF,1,3.741
RbLiS,8,3.125
SO2,1,2.905
Lu2SO2,8,2.879
MnF2,6,2.753
CrNiF6,1,2.924
Cs2LiYI6,1,3.241
LaAgO2,2,2.991
Al2CuOs,1,1.771
Ga4Se3Cl5,1,3.029
HfVF6,1,2.511
DyNbO4,1,2.336
HC,1,3.286
LaOF,1,2.539
Cu3HS4,1,3.046
Rb2Pb2Br7,1,3.321
CsBS2,2,2.709
MgAlH2,1,2.645
HfCd,1,2.966
NaYSe2,1,1.817
Pb2ClOF,1,3.178
CaAsO3,1,2.926
LiSiNi2,1,2.2
Mg2TaN3,36,3.087
PmSe,1,2.149
RbAu3Se2,1,3.046
Ba2MgSbO6,1,3.479
Cs2SbO3,1,2.924
ErRu2,1,0.003
HCN2,1,3.202
CsLaS2,8,2.781
RbNdO2,1,3.087
HfVF6,2,2.679
EuCo5,1,0
Cs2MnBiF6,1,3.086
RbTiS2,1,1.416
FeB2Mo,1,1.556
LiGe2N3,1,2.64
UTaC2,1,3.283
Cs2LiHI6,1,2.971
ScAs2HO7,1,3.317
NaMo2HO8,1,2.906
RbLiZnS2,1,2.61
Li3SnC,1,2.668
Lu2SO2,2,2.895
RbLiS,2,3.127
VHF6,1,3.375
Th2CN2,1,3.472
RbLiS,11,3.131
Ba2I2O,1,3.283
LaAgO2,166,2.99
Ba2CdSnO6,1,3.275
Na2CN2,1,3.7
ZnF2,1,2.917
LiTl2InCl6,1,2.99
S2O5,1,2.558
CsLaS2,1,2.78
Cs2AgBiF6,1,2.57
Rb2IrF6,1,3.378
FePt4,1,0
Cs2B2S5,1,2.5
Ta3N2,1,2.934
PbSeO3,1,1.934
Ba2TbPaO6,2,3.135
SrBiIO2,2,2.681
CdF2,166,2.828
Cs2IrF6,1,2.918
YPaO4,1,3.299
SrBiIO2,1,2.747
Cs2LiCrF6,1,2.745
AlPS4,1,2.678
PaO2,1,2.498
Cs2LiNdI6,1,3.004
MnF3,1,2.743
Mg4TaN7,1,2.992
HSBr,1,1.988
Rb2CrHF6,1,3.206
NbAlO4,1,3.495
Cs4IrO5,1,2.292
XeF2,2,1.941
K2ReBr6,1,1.946
CdF2,2,2.765
In3PbCl6,1,2.495
OsO5,1,2.01
Cs2NiO2,1,2.158
CsBS2,1,2.691
NaTl3F6,1,3.081
EuAu2,1,0
K2RbMn2F7,1,3.067
Tl2InGaF6,1,3.216
Mn3AlC,1,1.146
Lu2SO2,12,2.893
CdSO4,1,3.197
KRuF6,1,2.79
LaAgO2,6,2.323
Lu4S7,1,2.917
ErPaO4,1,2.887
Na2CN2,2,3.14
RbHS,1,3.008
Cs2NaAsBr6,1,1.538
RbLiS,12,3.115
RbLiS,1,3.125
SmSBr,1,3.01
GdRh,1,0.012
LaCo5,1,0.004
TiCdO3,2,2.57
Ba2TbPaO6,1,2.708
KDyO2,1,3.21
PaInO4,1,1.812
Th2SeN2,1,2.136
Cs2NaYI6,1,3.347
Cs2NpBr6,1,3.612
Cs2NaInCl6,1,3.268
RbSiCl3,1,2.728
Lu2SO2,1,3.191
GdPO4,1,3.159
Pb4Cl2O2F3,1,2.981
Ba2TbReO6,1,2.627
CaN,1,1.937
ZrB11,1,2.709
RbNdO2,8,3.091
CdF2,8,2.74
NaBrF4,1,2.66
Cs2SnBr6,1,1.908
Cs2TiO3,1,2.486
BaAl2Sb2O7,1,2.896
TmPaO4,1,3.516
Ca2As2O7,1,2.776
SnF2,1,3.3
Rb2FeF3,1,3.008
GdOF,12,2.559
BaNaH6Ir,1,2.958
Lu2SO2,5,2.856
K2NaTlF6,1,3.773
K2NaVF6,1,2.883
Ta2B,1,1.392
BaBiIO2,1,2.448
Ba2GdPaO6,1,2.759
CdBr2,1,3.07
MgMnF6,1,2.923
Rb2TeBr6,1,3.434
Lu2SO2,164,2.936
TmTlS2,1,2.536
Ba2ErTaO6,2,3.277
KBaNdW2,1,2.64
CdF2,12,2.783
Sc,2,0
Rb2NaAsCl6,1,2.891
Cs4Sb2O5,1,2.93
NdAlO3,1,2.594
Rb2CrAgF6,1,2.648
Ba2UCdO6,1,1.539
RbLiS,4,3.146
TiCo3,1,2.574
Tl2TeCl6,1,2.746
LaAgO2,12,2.72
CsRuF6,1,2.874
