Chemical Formula,Space Group Number,Band gap (eV)
Fe2Ge2O7,227,1.62
Fe2SO2,164,0.003
FeHO2,31,1.847
Ga2SO2,164,0.064
GaHS2,31,1.294
Gd3Si6N11,100,1.636
GdTlO2,166,1.294
Ge2Mo2O7,227,1.041
Ge2Rh2O7,227,0.085
Hf3Bi2O9,176,4.16
Ho2Si2O7,227,5.127
HoAsO4,141,3.612
HoSbO4,14,2.817
HoSeClO3,62,4.392
In2Ge2O7,227,1.041
BiPO5,62,0.175
CaAl2O4,33,4.321
CaIn2O4,62,1.843
Ba2GeO4,139,2.144
Ba2GeOF6,9,3.907
Ba2GeS4,62,2.27
Ba2LuTaO6,225,3.42
Ba2MnO4,139,0.228
Ba2MnOF6,9,0.917
Ba2MoO4,139,0.029
Ba2MoOF6,9,1.572
Ba2NdNbO6,14,2.978
Ba2NdNbO6,87,2.978
Ba2PrNbO6,12,2.968
Ba2PrNbO6,87,2.961
Ba2RuO4,139,0.024
Ba2RuOF6,9,0.722
Ba2ScNbO6,87,2.578
Ba2SeO4,139,0.085
Ba2SiO4,139,3.17
Ba2SiOF6,9,5.184
Ba2SiSe4,62,2.117
Ba2SmNbO6,12,2.989
Ba2SmNbO6,14,2.983
Ba2SmNbO6,87,2.987
LiNiF3,12,5.271
LiNO3,160,0
LiScSiO4,9,4.568
LiYSiO4,9,4.16
LiZn2F5,14,3.893
LuBrO,59,4.444
LuSCl,59,2.985
K2AsO2F3,62,1.547
K2MnF4,139,0
K2NaNF6,225,2.864
K2RbNF6,225,2.948
K2TlNF6,225,0.637
KGdO2,166,0
KInO2,166,2.079
KRb2CoF6,166,2.146
KRb2NF6,225,2.993
KScO2,166,0
LiCoF3,12,2.965
LiGeBiO4,33,0
LiHg2F5,14,1.39
LiMg2F5,14,6.615
LiMgF3,12,6.851
LiMnF3,12,3.297
LuSeBr,59,2.361
LuSF,59,2.792
LuSI,59,2.658
Mg2As2O7,14,2.539
MnAg2F6,164,1.805
MnHO2,31,0.595
MnTl2F6,164,2.33
Na2MnF4,139,0
TaPO5,62,3.637
Tb3Si6N11,100,3.074
TbDyO3,185,3.014
TbSeClO3,62,4.408
Ti2SO2,164,0.016
Ti3Bi2O9,176,3.518
TiAlO3,221,0.017
TiSBr,59,0.024
TiVO4,141,0.068
TlNO3,160,2.934
TlSiBiO4,33,2.428
V2Ge2O7,227,2.476
V2SO2,164,0
V3Si6N11,100,0.024
Pr3Si6N11,100,3
PrAsO4,14,3.311
PrSbO4,14,2.985
Rb2CaF4,139,5.924
Rb2CoF4,139,3.082
Rb2NaInCl6,225,3.018
Rb2NiF4,139,4.884
RbCrO2,166,0
RbNO3,160,3.099
RbScO2,166,0
RbSiBiO4,33,3.748
RbTiO2,166,0.062
RbVO2,12,0
RbYO2,166,3.653
SbPO5,62,1.843
Sc2Ge2O7,227,3.68
Ba2SnO4,139,2.421
Ba2SnOF6,9,3.804
Ba2SrTeO6,225,3.15
Ba2TaAlO6,225,3.518
Ba2TaCoO6,166,0.419
Ba2TaCrO6,225,2.817
Ba2TaFeO6,225,0
Ba2TaInO6,225,3.924
Ba2TaMnO6,225,0.043
Ba2TaVO6,225,0.917
Ba2TbNbO6,12,2.985
Ba2TbNbO6,14,2.978
Ba2TeOF6,9,3.73
Ba2TiO4,139,1.775
Ba2TiS4,62,2.092
Ba2VO4,139,1.181
Ba2VOF6,9,2.163
Ba2YNbO6,12,2.961
Ba2YNbO6,14,2.953
Ba2YNbO6,87,2.97
Ba2YTaO6,225,3.38
Ba2ZrOF6,9,4.926
Ba2ZrS4,62,2.428
VFeO4,141,1.568
VHO2,31,1.255
VInO4,141,2.56
VPO5,62,1.919
Y2Ge2O7,227,3.006
Y2SeO2,164,2.146
Y2SO2,164,3.01
Y3Si6N11,100,3.086
YAlO3,221,2.848
YInO3,185,2.061
YSbO4,14,2.903
YScO3,185,3.16
YSeClO3,62,4.388
Zr3Bi2O9,176,4.121
Sc2SO2,164,0
Sc3Si6N11,100,2.391
ScAlO3,221,1.429
ScHO2,31,4.44
ScSbO4,14,2.828
ScSBr,59,2.132
ScVO4,141,2.666
Si3Bi2O9,176,3.502
SiAgBiO4,33,2.407
Sm3Ge6N11,100,2.688
Sm3Si6N11,100,3.021
SmDyO3,185,3.086
SmSbO4,14,2.934
Sn3Bi2O9,176,2.377
Sr2SiS4,62,2.969
Cs2LiNF6,225,2.712
Cs2MnF6,164,3.287
Cs2NaAlCl6,225,3.945
Cs2NaCrCl6,225,1.62
Cs2NaFeCl6,225,0.802
Cs2NaGaCl6,225,2.683
Cs2NaInF6,225,5.294
Cs2NaNF6,225,2.802
Cs2NaScCl6,225,3.907
Cs2NaVCl6,225,0.17
Cs2RbCoF6,12,2.124
Cs2RbNF6,225,2.95
CsGdO2,166,0
CsNO3,160,3.205
CsSiBiO4,33,3.593
CuSiBiO4,33,1.38
Dy2SeO2,164,2.154
DyErO3,185,2.915
DyHoO3,185,2.948
DySbO4,14,2.841
DySeClO3,62,4.402
Er2Zr2O7,227,2.613
ErSbO4,14,2.792
ErSeClO3,62,4.389
NaFeF3,12,2.978
NaMg2Cl5,58,4.092
NaNO3,160,2.579
NaSiBiO4,33,3.42
NaSn2Br5,58,2.492
NaSn2F5,58,3.094
NaSn2I5,58,1.976
Nd3Si6N11,100,2.996
CaY2O4,62,3.748
Co2SO2,164,0.003
CrHO2,31,2.481
CrSBr,59,0.404
Cs2KAlF6,225,6.684
Cs2KCrF6,225,4.256
Cs2KFeF6,225,4.143
Cs2KMnF6,139,1.552
Cs2KVF6,166,2.613
KTiO2,166,0.016
KTl2NF6,225,2.895
KVO2,12,0
KYO2,166,4.051
LaAlO3,221,3.493
LaSbO4,14,2.99
LaSeClO3,62,4.491
Li2MnF4,139,0
Li2SiF6,164,6.881
Li2TiF6,164,4.626
Li2VF6,12,1.941
LiAlSiO4,9,4.626
AgNO3,160,1.674
Al2SO2,164,0
AlCrO3,221,0.033
AlFeO3,221,0.038
AlHO2,31,5.69
AlInO3,221,0.196
AlSbO4,65,1.552
AlSBr,59,2.27
AlVO4,141,2.686
AsPO5,62,1.383
B2PbS4,148,1.894
Ba2CaMoO6,225,2.391
Ba2DyNbO6,12,2.969
Ba2DyNbO6,14,2.961
Ba2DyNbO6,87,2.989
Ba2ErTaO6,225,3.414
BaGeO3,221,0.342
LiGaSiO4,33,4.103
SrGeN2,14,2.45
TiOF,62,0.085
NaPO3,4,5.009
AlGaO3,221,0.016
HfMgO3,62,4.393
LiTiSe2,33,0
LiNiPO4,33,3.602
LiHgF3,2,2.064
LiHgF3,12,1.5
LiVO3,57,3.032
LiVO3,62,2.996
Li2GeF6,164,5.924
AlBiSe3,161,1.103
NbAlO4,13,2.983
BaTiO3,221,1.667
Ba2TiO4,62,3.302
Ba2NdNbO6,148,3.037
NaVO3,15,3.243
NaVO3,57,3.004
Ge3Bi2S9,176,1.5
BaRuO4,62,0
Al2Ge2O7,227,2.476
BiClO,166,2.641
Rb2AgBr3,62,2.641
GdYO3,185,2.184
SrZrO3,221,3.354
AlBiS3,161,1.449
Cu2As2O7,12,0.006
KSiBiO4,62,2.917
Sm2TeO6,150,3.008
InClO,129,0.722
RhClO,129,0.014
SbSF,62,1.572
Ba2RuO4,62,0
Mn2As2O7,12,1.248
LiCdF3,2,3.545
LiCdF3,12,3.622
VInO4,13,1.857
GaFeO3,221,0.016
CsNa2NF6,225,2.812
Li2GeO3,15,4.16
Ba2PrVO6,14,1.743
Ba2PrVO6,148,1.775
LiAlSiO4,33,5.127
LiAlSiO4,62,5.348
Li2VO3,15,1.43
VClO,129,1.97
SmYO3,185,2.759
Ni2As2O7,12,2.374
Sr3MoO6,14,2.623
K2CrF5,12,3.593
LiFeSe2,33,0.006
SmPO4,141,5.69
ScGaO3,221,1.345
LiAlO2,33,4.926
CsRb2NF6,225,2.87
SrCrO4,62,2.872
CdSeO3,148,3.001
Ba2NdVO6,12,1.72
LiSiBi3S7,173,1.709
YTaO4,141,4.408
LiSiBiS4,62,1.572
LiScSiO4,33,4.977
LiScSiO4,62,4.626
Li2MnO3,15,2.057
BaSeO3,221,1.103
ZrMnO3,62,3.081
Ho2TeO6,150,3.067
KPrO2,166,3.666
DyTaO4,141,4.393
Rb2CdF4,139,3.838
KRb2Cl3,62,4.482
TiIn2O5,63,2.477
TbSbO4,14,2.872
CSeCl2,14,2.238
LiNbO3,15,3.445
NdVO4,141,3.034
LiHgPO4,33,1.965
LaBiO4,14,1.458
LiFeF4,88,3.354
TlInTe3O8,2,2.817
Ba2CeNbO6,148,0
RbRhO2,166,1.192
Li2CoF5,62,1.919
RbS3N,15,0
LiCrSe2,33,0
TlNO3,11,2.903
TlNO3,167,2.641
TiRh2O5,63,0.579
MgRhF6,148,0.024
La2TeO6,150,2.817
AlInCl4,11,4.016
ErInO3,221,1.429
Er2RuO5,63,0.014
RbAlTe3O8,2,2.607
NaGaS2,33,2.658
LiTlCrO4,173,2.864
Ba2PrTaO6,148,3.54
Ba2PrTaO6,14,3.518
K2MnF5,12,3.176
KInTe3O8,2,2.996
TiClO,129,0
CaTb2O4,62,3.693
BiOF,166,3.037
MnSnO3,62,0.662
La3Ge6N11,100,2.832
MgSO3,148,4.977
KSiBi3O7,173,2.955
Ta2NiO6,60,3.622
Cs2AgNF6,225,1.103
ScVO4,63,3.037
CoBiO3,1,0.003
HfZnO3,62,2.823
Nd2TiZnO6,148,3.054
ErGaO3,221,2.917
CsGaS2,33,2.178
NaAsO3,62,2.641
BaSeO4,62,3.675
LaAsO4,14,3.233
ErScO3,221,2.555
KVO3,57,3.053
KVO3,62,3.16
KVO3,15,3.389
Tb2TeO6,150,3.053
LiCoSiO4,33,1.39
RbVO3,57,3.099
RbVO3,62,3.117
RbVO3,15,3.389
Sr3SO6,14,3.516
Ge3Bi2Se9,176,0.917
LiInGeO4,62,2.27
VAgO3,57,1.572
VAgO3,62,1.671
K2VF5,12,2.459
Sr3IrO6,14,0.085
SbOF,62,3.498
Ba2LaNbO6,148,3.099
HfCoO3,62,2.672
Rb2NaCl3,62,4.686
VGaO3,221,0.014
TiV2O5,63,1.162
RbInO2,166,1.976
Cs2TlNF6,225,1.323
Li2SnO3,15,3.176
CsK2NF6,225,2.848
Sc2TeO6,150,2.895
RbInSiO4,62,1.976
Ba2SmNbO6,148,3.033
ScNbO4,13,3.303
LiVSiO4,33,2.658
LiTiBi3O7,173,3.091
InSbO4,13,0.85
TiPb2OF6,9,3.502
YHoO3,185,3.111
MnPbF6,148,0.595
BiSeF,166,0.473
Pr2TiO5,63,3
FeOF,62,1.882
SmTaO4,141,4.468
CaSO3,148,4.897
SiPbN2,14,1.472
KInSiO4,62,2.33
Er2MnO5,63,0.315
RbSiBiO4,62,2.907
Rb2CuF4,139,0
La2ZnSnO6,148,2.895
LiGaO2,33,3.204
LiGaO2,6,2.171
BaZrS3,221,0.467
RbLaO2,166,3.593
La2HgO4,62,2.368
ScOF,166,4.374
FeClO,129,1.147
NaSiBi3O7,173,2.985
Dy2Si2O7,227,4.977
VBO4,63,2.948
Dy2TeO6,150,3.065
Ca2GeO4,62,3.602
Li2SeF6,164,4.77
Rb2CuCl3,62,1.894
NbInO4,63,3.17
LiAsO3,15,2.967
Cs2KNF6,225,2.983
TiCr2O5,63,1.872
LiCoF4,88,1.472
ErFeO3,221,0.579
BiIO,166,1.214
NbVO4,13,1.509
ScBiO3,161,3.176
Ba2ScNbO6,225,2.574
Ba2ScNbO6,148,2.579
Cs2KNCl6,225,1.636
