Chemical Formula,Space Group Number,Bulk modulus (Gpa)
Tl2VOs,1,78.926
B2W,1,299.520
AlN,1,190.566
Ta2B,1,116.362
CoRe3,1,61.757
NbRh3,1,200.756
NbTc2H,1,271.359
B2H,1,328.516
Ta,1,66.660
Tc2Pt,1,233.643
Ni2Rh,1,202.415
TmWN2,164,130.944
Ru3W,1,156.968
AlCo3C,1,47.026
ScReP2,225,253.107
TiPt4,1,116.504
DyB2,1,90.059
CeIr4,1,137.234
TaPt2,1,291.096
NdPt3,1,81.362
Si2OsRu,225,312.413
FeCo3,1,57.550
UCo3B2,1,293.793
Ti2ReIr,1,237.830
Al2Ir,1,263.609
NbFeP2,10,220.116
TaCrSi2,225,154.610
TiPtN2,164,191.777
Cr3C2,1,156.763
TaC,1,250.496
AlVRu2,1,214.611
DyFe3C,1,291.196
HfRu3,1,391.559
FeRu3,1,118.564
LaOsN3,1,273.230
NbFe2,1,273.686
AlAs4Au3,131,194.287
Mn3AlC,1,194.861
Cr,1,189.312
NbCo3C,1,235.632
VB,1,249.222
MnNbP2,225,64.542
Fe7Mo6,1,161.155
LaB2,1,233.283
LiInNi4,1,169.113
TbB2Ir3,1,196.856
CrSiRh2,1,112.737
Ni2B3,1,321.115
Ru2W,1,76.901
Ta2Pt5,1,389.087
ThSiTe,1,194.227
TiAsN2,164,137.373
IrW,1,138.618
NiMoP2,164,69.520
YbCrN2,164,317.296
SiOs,1,44.589
Mo2N,1,415.924
PrB2Ir3,1,208.030
Co4C3,1,250.261
BaLi2PrH,1,210.741
BaLiH2O,1,115.071
MgMoN2,1,274.800
LiOs,1,158.654
Ta2CrFe,1,172.744
Ta3B4,1,145.467
Ta2N,1,116.602
Nb4C3,1,42.660
CaMgNi5,1,206.043
Nb3B5,1,86.582
Ti2PdRu,1,95.929
TaCo3,1,128.354
FeB5Mo,1,60.331
SmCo2,1,222.465
NiRh,1,117.829
FeB2,1,130.960
NbHN2,1,46.383
CaIr2,1,227.266
BeCrRu2,1,227.678
B2HW2,1,211.855
Th2Si2Te3,1,192.373
MoPt2,1,193.923
BIrN3,185,294.831
Co7Mo5,1,272.703
BRh,1,197.010
AlCrRu2,1,136.729
TiO2,1,325.552
BW2,1,242.404
InMoN2,164,180.296
BIrPd,1,206.072
CrCoN2,164,271.092
TiRe2W,1,192.458
TiCo3,1,203.903
Be9Si4Se,40,170.642
GaHOs2,1,310.728
ZrBeN2,15,128.701
V2CrRe,1,232.707
ReN,1,312.241
TiCrP2,225,210.580
UOs2,1,298.829
AlSb3As2,213,159.834
DyNi2,1,201.683
ScBIr3,1,255.034
V3B4,1,150.023
Ta4B2O,1,313.226
Mn(BW)2,1,431.480
NbC,1,241.133
TaFe2,1,229.445
BaLiIr,1,158.097
V2OsPt,1,79.342
U(SiRu)2,1,252.787
ReB2,1,239.822
Ta4N5,1,253.005
HfSiOs2,1,174.716
Ir3W,1,189.920
VOsO2,164,229.210
YBN2,10,31.512
HfBeN2,164,116.022
ZrNi4Sn,1,324.192
Be2RuW,1,414.087
TiIr3,1,77.377
TiBeIr2,1,432.984
VB2,1,181.176
V2ReOs,1,76.845
FeB,1,58.695
AlFe2Co,1,129.614
Ta2Cr9,1,116.032
VTc2Ge,1,214.817
Mo2Ru7,1,273.822
CrSiRu2,1,80.119
MnV2Ir,1,240.607
CoP2Rh,10,134.830
ReMoH2,1,226.762
BMo2,1,281.788
SiTc2W,1,412.942
Mn3B4,1,175.947
NbIr,1,195.634
Mo2C,1,177.565
Ca2CdO3,194,197.573
Al2Si3Se,65,181.268
Be2IrPt,1,291.127
Fe2B4Mo,1,190.081
NbNO,1,72.263
CoB,1,244.951
HfMnN2,164,158.777
HfRe2,1,319.962
V2Ir,1,212.646
TiSiOs2,1,138.810
Co3Mo,1,233.490
Ca2TaP3,213,175.067
VRhN2,12,250.555
HIr3,1,113.195
AlBiO3,194,225.444
H2OsRu,1,275.277
MnV2Os,1,82.721
V2PdRu,1,247.397
HfC,1,126.771
Na3(GePt)4,1,210.510
VCo3,1,187.932
ScFeN2,164,81.166
Cu3SnC,1,224.314
CrHRu2,1,77.583
NbBO4,1,103.726
TiFe2Si,1,310.932
BaBiAu2,1,219.467
AlAuN2,2,210.282
LiPt3,1,212.066
FePt4,1,209.183
LiN,1,167.046
TaAl2Os,1,151.511
Ag2Sb2Ir,2,194.340
NpPt3,1,251.342
BaLiPr2,1,171.502
ScBN2,164,119.004
Hf5N5O2,1,226.671
MoP2Ir,225,56.576
PtO2,1,148.392
MoHN2,1,173.345
B2Mo,1,199.868
AlVOs2,1,55.274
HfP2Pt,225,338.906
As2RhN4,227,169.954
BaHfP2,225,188.959
SiRu2,1,138.973
BeAlIr2,1,56.858
ScSiTc2,1,335.756
IrO2,1,118.344
MoRh3,1,221.425
SnN2,1,156.630
FeN3,1,201.946
TiSi,1,227.170
LaN2,1,146.376
MnV2Cr,1,180.361
LiCoP,1,292.263
Ag5BC2,11,200.767
VPt2,1,83.401
Be2NiIr,1,30.305
TaBeOs2,1,62.697
ZrB2,1,201.463
NbGaRu2,1,337.571
FeO2,1,114.235
KBi2,1,115.108
Mn3Rh,1,228.248
Re3Ni,1,225.752
