Chemical Formula,Space Group Number,Bulk modulus (Gpa)
CaSiN2,166,158.262
Nb3O7F,65,98.063
BeGeO3,221,264.219
LaCrO3,221,215.876
Ni2N,123,367.762
BaLiLaWO6,216,198.498
GeSeO4,88,175.129
YB3N4,215,318.795
LaGaO3,221,162.517
NbGaO4,141,310.396
Er2CrN3,71,212.570
FeReO3,221,147.693
LiNbO3,221,205.482
Sm2Zr2O7,227,208.668
Si3GeO8,121,176.479
LuSbO4,65,184.900
CaSeO3,221,168.517
RbBiO3,221,154.760
CrGaN2,115,168.088
CdTeO3,221,169.408
CaTeO3,221,167.299
VSiO4,141,167.558
TaGaO4,65,131.986
Sn2Bi2O7,227,173.125
CdIrO3,221,159.293
ZrTeO4,14,179.125
HoSbO4,65,170.924
CrMoN2,160,153.592
Bi3O7F,65,170.454
CaTi4Cd3O12,204,0.000
BeSnN2,33,342.615
ZnSeO3,221,181.446
ZrGeO4,88,167.698
ZrSnO4,65,212.346
AsNO,14,310.247
Li2SnO3,12,197.703
Ta3O7F,65,191.204
SiNiO3,221,210.674
SiSeO4,88,198.400
CaSnO3,221,432.318
TiBeN2,33,178.643
Ge2Bi2O7,227,202.730
Zr4InN5O2,12,225.039
MoPN3,38,283.798
LaAlO3,167,179.240
NaSbO3,221,185.024
NiIrO3,221,181.695
TiSbO4,65,187.094
ZrGaO3,221,140.149
NbFeN2,141,239.176
ZrTiO4,88,320.553
ZrSnO4,14,220.473
Mn2Si2O7,227,254.806
YAlO3,62,162.447
TaBO4,65,205.386
YGaO3,167,156.780
CoBN2,115,149.056
Eu2CrN3,71,174.768
BPO4,65,172.598
SnMoO3,221,198.230
YMnO3,167,158.965
MnGeO4,88,202.694
CrSiO3,221,103.115
Sm2Ti2O7,227,184.317
CdGeS3,221,182.073
AlVO3,63,183.473
As3O7F,65,253.729
Nd2Ti2O7,227,186.357
BMoO3,167,194.253
DyScO3,62,210.249
ZrTeO4,65,168.042
TaAgN2,166,174.909
ZrSnO4,141,384.216
Cr2NiS4,227,192.424
V3O7F,65,135.921
ZrTiN2,123,142.142
ScTaO4,65,265.162
Cr2Si2O7,227,176.361
Ti2In2O7,227,207.958
AlCoO3,62,108.502
YInO3,221,188.187
SbNO,14,73.865
NbBS4,141,186.232
PtSeO3,221,306.263
YbZr4N5O2,12,216.410
YTaO4,141,228.618
Bi2Se2O7,227,170.446
YCrO3,167,150.167
TlSbO3,221,185.924
MgSnN2,194,215.431
Ta2FeO6,225,168.285
Zr2Sc2O7,227,152.255
FeBiN2,194,433.856
SiSeO4,141,173.699
InSbO4,65,190.781
SiGeO4,88,180.327
SrHfO3,221,184.025
MgGeO3,63,221.501
NbMoN2,141,243.426
GaOF,123,246.154
MgGeO3,148,219.695
MgGeN2,166,145.037
CuSbN2,166,308.890
TiAlO3,62,161.792
LuNbO4,141,174.936
ZrTiO4,14,127.266
BSbO4,141,187.924
BiNO,12,157.618
Ti2V2O7,227,179.957
Mn2N2O,11,208.101
SrTi4(CuO4)3,204,215.609
AlGa3N4,215,461.941
TiB2O5,63,155.108
AsNO,12,116.844
HfSiO4,88,262.654
Ta3ClO7,65,164.315
MnSiO4,141,136.845
CeAlO3,4,158.275
CsTaO3,221,197.305
TiPO4,65,193.499
AgSbO3,221,167.382
ZnSiN2,33,166.791
TiCo2O5,63,247.553
GdRhO3,221,133.129
TiCrN2,160,242.391
AlBSe3,167,147.845
NbNO,14,236.405
NbAlO4,65,85.820
SrGeO3,221,48.260
LuZr4N5O2,12,177.734
ZrGeO4,65,271.437
NbVO3,221,191.694
GdAlO3,167,316.551
CoPO4,65,181.126
FeSbN2,194,118.828
TiHgO3,221,93.137
MnZnO3,221,100.067
Tb2Sn2O7,227,195.507
DyGaO3,62,178.027
ScPO4,65,199.409
ScBO3,167,158.022
InGaO3,221,168.000
TePtO3,221,209.164
Sn2N2O,11,211.822
MgIrO3,221,269.381
NbGaN2,141,426.304
FeRuN2,194,141.891
AlVO3,62,154.994
Se2N2O,11,176.518
ScRhO3,62,435.713
SiMoO4,88,206.816
SiPdS3,221,191.911
Ce2Ti2O7,227,190.662
ZnRuO3,221,323.636
AlFeO3,194,151.106
La2Ti2O7,227,190.796
CoBiO3,123,181.002
ScNbO4,109,301.134
AlCrO3,62,233.459
SiPN3,38,233.084
TaBO4,141,132.195
Sc2TiO5,63,167.502
SrTeO3,221,173.628
AlInO3,62,225.592
DySbO4,65,141.499
YGaO3,221,172.350
CdOsO3,221,174.532
ZrScO3,221,175.294
YBO3,167,207.607
SmAlO3,221,223.626
PrErO3,221,196.550
NaReO3,221,198.504
FeSiN2,166,155.494
AlBS3,167,138.269
Al2Si2O7,227,157.898
ZrPtO4,65,290.608
BeV2O4,62,167.053
Ca(SbO3)2,225,176.162
YVO3,221,233.913
HfMnN2,123,187.266
YBN2,115,146.367
Sb3O7F,65,163.244
YbSbO4,65,159.181
HgCN2,122,214.205
LaRhO3,221,187.291
ErSbO4,65,170.887
ScBiO3,221,210.744
SmInO3,221,198.203
TiGaN2,115,172.440
TiSiO4,88,123.961
YMoO3,221,198.685
SiPdSe3,221,226.200
ScGaO3,221,159.821
CaTiO3,221,230.374
Mn2BeO4,62,210.066
Zr4ScN5O2,12,401.349
YTaO4,65,271.476
ScSbO4,65,191.403
Zr4AlN5O2,12,260.562
GaBN2,115,166.921
NbAlO4,141,190.735
CeAlO3,167,283.530
Fe2Si2O7,227,400.552
NbVO4,109,147.794
CsPbCl3,194,132.330
MnSiO3,148,166.898
In2Ge2O7,227,277.364
YNbO4,109,228.507
Pr2Ti2O7,227,195.393
Pr2CrN3,71,198.419
CuPS,198,172.374
CoNiN,123,192.221
FeSbO4,65,174.729
RbSbO3,221,163.196
MgSnO3,221,217.171
Cr2FeSe4,160,185.761
CoSiN2,33,167.142
NaOsO3,221,203.823
FePO4,65,191.127
HgMoO3,221,182.382
SiHgSe3,221,194.525
CuSiN2,33,1.850
CrFeN2,160,285.020
YCoO3,62,147.447
ZnPdO3,221,149.642
VCuN2,166,180.041
SnPdO3,221,382.495
Ti2Cr2O7,227,195.371
BiBO3,221,145.830
CoCN2,33,187.340
BeSiN2,33,285.779
MnSiO3,63,182.278
Be(CoO2)2,62,157.008
ZnCN2,33,242.762
MnOF,123,203.772
SmScO3,221,210.291
NbInO4,109,192.333
Be2FeN2,164,180.877
BaTeO3,194,180.221
VNO,14,302.096
ScAlO3,194,152.063
FeBiO3,221,234.681
In2Si2S7,227,172.659
Sc2Si2O7,227,139.453
CsHgCl3,194,149.803
NaReS3,221,186.947
MnNbN2,141,194.690
SmInO3,62,177.661
SnGeO4,88,194.298
Tb2Ru2O7,227,175.054
AlGaO3,221,195.075
MnPN3,38,139.165
SiSnO3,221,234.978
VSbO4,65,203.703
AlFeO3,62,179.849
CdCN2,122,226.064
V3BN4,215,353.008
ScAlO3,221,199.804
Be2CdN2,164,45.698
Sc2Ti2O7,227,242.214
CsReO3,221,160.954
RbAsO3,221,244.766
PrMnO3,221,206.066
MgTa2O6,225,242.916
Nb3S7F,65,227.806
CaSnO3,140,159.370
RbReO3,221,193.114
Ta2CoO6,225,227.560
NdNbO4,109,174.806
Li2TeO3,12,169.863
CoSbO4,65,198.143
KVO3,221,412.452
LiReO3,221,174.036
TiBiO3,221,134.176
SiMoO4,141,150.886
Al3BN4,215,147.524
Ce2Bi2O7,227,196.036
Zr2Bi2O7,227,208.679
TePN3,38,178.610
SnGeO3,221,231.569
CdSiN2,166,344.342
PNO,12,37.126
MgZrN2,194,98.063
AlMoO3,194,149.803
SbRhO4,109,181.446
PNO,14,219.695
CaSiSe3,140,184.317
KNbO3,221,173.125
Li2GeO3,12,164.315
Be(GaO2)2,62,188.187
AlCuO3,221,191.204
MgPtN2,141,253.729
Ta3BrO7,65,242.916
Bi2Pd2O7,227,206.066
YBiO3,221,199.409
KTaO3,221,183.473
NaPO3,221,160.954
Al2CoO4,227,184.317
BaSnO3,194,180.877
SnPbO3,221,203.703
TaTlO3,221,310.396
GeMoO4,88,164.315
NiPSe,198,191.694
Ti2Bi2O7,227,187.924
YFeO3,221,226.200
AlSbO4,65,133.129
Be(FeO2)2,62,157.008
PrInO3,221,166.921
CdSnO3,221,353.008
MnPO4,65,190.662
PWN3,38,228.618
Be2HgN2,164,155.494
Ti2N2O,11,435.713
MnGaN2,115,269.381
Li2PbO3,12,182.382
NbCrO3,221,308.890
YTiO3,62,277.364
Li2PdO3,12,169.863
ScNbN2,141,242.916
Sn2O3,221,169.408
SiNiN2,166,180.877
KSbO3,221,181.126
BMo3N4,215,37.126
K2HfO3,12,164.315
VGaO3,221,228.618
FeBO3,167,220.473
Li2TiO3,12,196.036
MnSiO4,15,182.382
SiRhO4,141,177.734
SmScO3,62,169.863
Cr2FeO4,141,228.618
CaSiO3,148,147.447
BPO4,141,163.244
RbNbO3,221,168.088
PrVO3,221,108.502
NdReO3,221,174.532
GaPO4,65,206.066
Rh2N2O,11,103.115
CaNiN,123,118.828
Li2SiO3,12,203.823
MnAlO3,62,239.176
Co3BN4,215,153.592
ZrSiO4,88,100.067
SmGaO3,62,161.792
KOsO3,221,205.482
NaNbO3,221,181.446
KReO3,221,45.698
RbTaO3,221,198.685
MnAlO3,221,73.865
TiSbN3,161,172.659
CdMoO3,221,184.900
CoOsO3,123,142.142
NaTaO3,221,198.143
GaCoO3,63,175.294
Nd2Zr2O7,227,225.039
Co2Si2O7,227,320.553
ZnOsO3,221,301.134
EuTiO3,221,152.063
P3O7F,65,219.695
Ga2Si2O7,227,141.499
TbPtO3,221,217.171
DyInO3,62,180.221
La2Zr2O7,227,214.205
VAgO3,221,210.066
LaAlO3,62,155.494
NaAsO3,221,169.408
AlVO3,221,239.176
BaTi4(CuO4)3,204,244.766
VGaN2,115,242.762
V2Bi2O7,227,181.002
LaNbO4,109,152.255
MgGeO3,221,153.592
MnMoN2,194,159.370
NdNbO3,221,178.643
CoSiO3,63,308.890
GdNbO3,221,192.424
Ta2PbO6,225,412.452
Pr2Zr2O7,227,217.171
TlReO3,221,203.703
NdCuO3,221,221.501
CoSiO3,148,243.426
MnSiN2,166,161.792
TaTiO4,65,195.507
CrFe2N3,71,184.317
CeNbO3,221,196.036
Rb2HfO3,12,127.266
CrPO4,65,195.075
BaGeO3,194,203.823
Be(BO2)2,62,169.863
Ru2N2O,11,133.129
MnOsO3,221,230.374
Sc3BN4,215,145.830
