Chemical Formula,Space Group Number,Bulk modulus (Gpa)
NdTeI,216,172.411
TiWSe2,164,150.178
SnTe2Pt,10,71.162
KTlO2,15,61.199
KTlO2,15,61.199
TmHfAs2,225,98.269
Li4SeO,14,47.182
NdAlAs2,225,453.657
SrMoCl4,13,77.188
LuSbTe4,2,42.598
KCuCl2,15,23.133
LiReBr3,167,60.759
PrHI2,15,22.022
ZnSb2Pd,164,82.613
MgBeSe2,15,52.521
KIn5S8,12,60.577
LiSnAs,216,36.452
Rb8CdSe5,8,12.994
TaSbSe4,13,63.673
DyHBr4,14,28.184
TbTeF2,225,78.998
HoTeF,216,53.214
CsTlBr2,225,15.273
Cs2ClF,15,14.802
YH2Cl,1,65.085
LiScTe2,2,35.173
RbLiCl2,13,20.996
TmRhCl4,13,51.673
MgTiO2,164,181.374
KSmS2,15,49.841
CaGeBr4,13,30.204
Zn2SO,15,85.025
ZnCdO2,1,131.176
CdPdSe2,10,66.666
Cu2IBr,10,40.669
RbCoF4,13,213.423
TmIrI4,13,124.365
Ir5CO8,12,257.915
TiCoI4,1,37.272
YHI4,13,35.173
BaMgSe2,225,44.798
RbAgBr2,164,22.186
LaSeBr,216,46.517
SmGaAs2,225,84.231
Pr2SbP,225,65.085
YbTe4As,13,40.669
RbErF4,13,56.602
SmGeO2,225,122.716
GePbF4,13,61.199
CaIrSe2,164,88.677
ZnPbS2,225,61.199
TlHgCl2,225,24.694
DyAlN2,10,160.901
TlIr5O8,12,191.178
Tl4SeO,13,28.320
Sm2PI,225,68.948
ErHI2,2,39.469
NaGaO2,15,107.654
ZrPtS4,13,116.130
ZrPtS4,14,109.240
CsRbH2,15,10.122
Tm2SbP,225,77.193
TmPdS2,65,97.064
CsYF4,13,51.238
YbHgN,216,71.912
BaHgCl4,13,32.271
SmGeSb2,225,57.855
ZnGeO2,2,98.269
YbMgBr4,13,34.065
TiOF2,164,172.411
NdAs2Ru,225,98.269
MgZnS2,10,78.998
InTeF,216,51.673
TbHgBr4,13,26.081
SmTe4Os,13,72.856
YBr2Cl,10,32.271
AsPb2Cl,225,47.118
YFeAs2,225,81.683
BaSrCl4,14,26.081
Li5TlF8,12,68.693
AgAuCl4,13,37.953
DySI,216,55.929
YAgBr4,13,41.121
CsAuCl4,13,22.022
AlHF4,13,88.677
SmTiH4,13,453.657
SbPb2F,225,49.044
TmWI4,13,48.460
TaGaSe4,13,66.666
YHgF4,2,78.195
BaGeBr4,13,27.424
TlI2Br,164,18.924
GaHF4,13,84.231
NdOF,216,127.438
MgTe2Pt,10,60.577
YI2F,10,37.272
LiYS2,2,68.149
TaHO2,164,238.399
NbRhO4,14,284.275
MgPbF4,13,74.016
YSF,216,82.101
SrCaF4,13,68.948
Ba2SbBr,123,17.629
LiDySe2,10,51.673
TlAuBr2,164,29.821
NbAuCl4,13,51.002
LiTlF2,15,37.135
AsCl2F,225,80.656
CdMoSe4,13,72.170
CaEuO2,164,94.563
RbScTe2,164,35.614
BeHgS2,15,57.991
HfZrS4,13,102.165
KAlTe2,12,37.953
NdGaP2,225,66.666
Na8PCl5,12,22.022
MgCoCl4,3,59.746
LiAuBr2,10,24.694
LiH2Au,15,73.242
CaYbH4,13,45.654
TmSnO2,225,105.729
YbTiSe2,164,73.271
ScTlSb2,225,53.214
YTaO4,13,213.423
TmTe2Pd,10,68.693
TmTe2Pd,164,68.693
KAuCl2,12,29.821
EuSb2Au,12,57.855
VSbCl2,47,0.000
AsWS4,13,102.165
RbAlO2,15,92.613
RbHgH2,15,14.762
ErHO,216,0.000
AsBrCl4,1,15.604
YbGeSb2,225,49.841
DyTeCl,216,43.848
YAuO2,10,116.130
TlAgI2,10,16.416
NaP5Se8,12,46.517
MgNiBr4,13,43.022
BiSeCl,216,42.736
CdPbF4,13,72.170
AgSbI4,13,26.780
LiBiO2,15,107.035
TmH2I,164,48.460
CeAgSe2,12,62.760
Tl8GeTe5,2,24.363
NbHO,216,199.181
LuBr2F,164,62.513
KBi5S8,12,54.250
Na5BiBr8,12,21.881
ScTaSe4,13,82.319
RbHgO,216,23.826
RbAuSe2,15,33.230
SmCdI4,13,23.014
SmTe2Pb,12,45.769
TlAgF2,2,284.275
BiSbBr2,47,39.469
BaSeO4,50,100.952
YI2Cl,10,27.349
Rb2HF,15,14.762
RbTbI4,13,18.551
BaZnH4,13,37.965
Y2CS,10,85.964
SnPbF4,13,67.572
DySeBr,216,49.752
NaBF4,13,87.337
Cs2BrCl,15,11.166
YbTeI,216,28.320
SiGeSe4,13,56.732
BiSe2I,2,28.193
La2CO,225,104.063
LiInBr4,13,30.204
TmSb2Pt,225,84.132
MgP2Ir,225,225.925
YbTeCl,216,29.068
KCuI2,10,20.806
CaTe4Se,13,37.965
GePbSe4,13,43.495
KPH4,13,29.821
TmH4Pt,13,116.130
ZnWS2,164,101.881
BeCdF4,13,107.654
NbTe4Ir,13,92.074
TaTe4Ir,13,93.546
NaLiCl2,15,20.568
NaLiCl2,10,22.496
SnPtS2,10,86.466
CuHBr2,1,32.794
TbHfS4,13,88.116
KInSe2,15,33.437
LiIrSe2,13,106.019
SrSmO2,74,79.465
LuHgF4,13,88.677
TbSbH,216,43.495
Ba2PCl,164,30.204
ErTe4P,13,51.002
SiMoS4,13,114.612
LiLaSe2,13,49.841
ZrBeAs2,225,93.870
LaCl2F,225,71.024
BiSbCl2,2,35.173
KVO2,12,127.438
ScReP2,225,453.657
KTe2Au,13,23.689
SrCeSb2,225,42.844
TbIF2,225,78.998
Li5SbCl8,12,33.437
SnTe4Mo,13,55.929
KErS2,15,36.452
CaZnO2,10,124.365
KTmS2,15,36.567
ErHgTe2,2,42.596
YAsS4,13,75.034
TiSiN2,164,275.277
NaSb5O8,12,105.339
Sr2PI,225,37.135
LaErP2,225,80.656
YAgS2,10,67.572
AlAuBr4,14,20.996
AgIrF4,13,98.269
LiHoF4,13,102.165
TbErAs2,225,79.175
TiSnS2,164,114.612
Au2ClF,2,54.056
CsSmS2,15,373.536
NbO2F,15,213.660
BiBrF2,225,87.337
AsCl4F,14,27.274
NaGa5O8,12,157.190
LaYAs2,225,71.024
Li2HI,15,17.843
SiOF2,1,94.563
InAgS2,12,59.707
V2SO,164,100.105
BiWS4,13,97.064
LiTmS2,10,44.798
Ca2SbBr,47,13.976
TiH2Cl,15,35.614
KTlSe2,164,34.362
YBiTe4,13,40.840
SmTl2Si,225,49.752
NaTiS2,164,78.195
CsLiBr2,15,13.425
YbGdP2,225,66.666
LaH2I,12,40.393
CuWS4,13,114.612
VCrTe4,13,284.275
Ba2AsCl,225,34.065
Ti2PF,225,127.438
NaYbN,216,63.899
RbScF4,13,59.394
MgCN2,15,134.034
LuTaTe4,13,62.688
DyLuN2,10,146.133
LuTe2H,15,51.002
AgBiCl4,13,37.272
ZnTe2Pt,10,116.130
SmSnO2,164,100.952
ErSb2P,225,65.085
CaPbS2,10,32.794
CsSbS2,15,30.204
RbNaBr2,164,15.157
PrBr2F,15,40.005
BaTeO4,13,110.292
TbZnAs2,225,71.558
