Chemical Formula,Space Group Number,Ed (eV/atom)
YH6N2F3,12,0.042
CoCuSnSe4,82,0.199
CsSbO3,227,0.136
Ti5CuS8,216,0.155
VAgSe2,122,0.231
Rb3Al7S12,4,-0.065
Sc2SO6,18,0.161
MnInS3,169,0.21
InFeBr4,13,0.127
AlH6Br3N2,62,-0.029
YCuBr4,112,0.18
Al4Bi2Se9,55,0.116
TiAg2S3,9,0.084
V2CdS4,82,0.31
Na2HgSI2,36,0.026
Tl2InF5,63,0.089
Cs2PSe3,19,0.031
AlTlBr4,14,0.014
AlSBr,29,-0.026
CoPS4,112,0.163
CrAgS2,122,0.223
KAsF6,225,0.082
FeTeCl7,14,0.021
Ga5BO9,36,0.049
KAlSiO4,161,0.047
CdAgSI,19,0.143
Ag2SnS3,9,0.05
ScH2PbO2F3,2,0.066
MnCuCl4,112,0.11
Al2CdCl6O,14,0.031
LiBF4,62,0.087
Cr3Co2CuS8,160,0.086
RbAlSiO4,161,0.057
Mn2PbSe4,66,0.122
MnPS4,112,0.119
Ag4AsIO4,11,0.042
AgAsPbSe3,14,0.045
AlSF7,7,0.161
InH15Br3N5,62,0.022
CsHg2AsO4,55,0.102
CaAsHO4,7,0.042
CdAg2SnSe4,31,0.057
PdSO4,2,0.004
InTeI7,7,0.005
BiPO5,19,0.19
VBiCl6,14,0.06
Ag2HgI2O,36,0.105
MnCuBr4,112,0.107
Ti2CdSe4,82,0.331
ScAsO4,152,0.083
AgSe4Cl,1,0.213
VCuGeSe4,82,0.224
AlInBr4,11,0.018
K2GeS3,36,0.06
Li2TeO4,15,0.071
KBiSCl2,63,0.12
LiAlCl4,62,0.036
Na2GePbS4,40,0.094
ScH10N2OF5,60,0.039
ScPS4,112,0.13
Na3PO4,161,0.025
ScInCl4,62,0.099
CdB4O7,15,0.069
Cr3In2CuS8,160,0.077
Mn2HgSe4,82,0.114
Cd5As3BrO12,176,0.099
AsH3SF6,2,0.14
Sc2PbS4,66,0.254
TlCrS2,15,0.215
Y2BiSe4,126,0.218
Al2CdF8,7,0.239
FeCuSnS4,74,0.173
AlAgF4,62,0.207
ScAlS3,169,0.065
Ag5PSO4,129,0.07
VCr4CuSe8,216,0.096
V2PbSe4,66,0.22
VInBr4,13,0.084
Ca5As3BrO12,176,0.015
TlGaSi3O8,2,0.001
Li2CO3,11,0.018
AgBO2,194,0.795
BiBCl6,14,0.005
Sc4CdO7,15,0.216
ScBPbO4,60,0.04
Na2PHO4,151,0.019
RbPF6,225,-0.088
Na3Al7S12,4,-0.052
BBrO,29,0.207
AgSO4,15,0.099
CrInBr4,13,0.191
SbH3OF6,2,0.053
Li2AlF5,63,0.131
B8H2O13,14,0.025
LiSbO3,227,0.157
CrCuCl4,112,0.225
CaAlPO5,14,0.007
FeSCl7,7,0.017
FePS4,112,0.205
BeBF5,85,0.222
SbCl2F3,85,0.063
ScBiCl6,14,0.077
Tl3Cr7S12,4,0.289
RbHg2AsO4,55,-0.001
