Chemical Formula,Space Group Number,Ed (eV/atom)
Ba2C2O7,6,0.195
KAgRuF7,8,0.296
ScCu2Pd,225,0.273
TmMgZn2,8,0.308
Ce2IrPd,99,0.068
Tb5Al2Pd5,8,0.197
Ti2VRe,12,0.15
Sm9Ru5,6,0.201
BiI3,1,0.09
RbSn2GePt2,1,0.197
NbAl3Ge2,38,0.321
LaNd2TiO7,1,0.126
GeBRu3,221,0.367
SiICl3,1,0.016
HoSc2HO5F,1,0.206
GaSe2,1,0.058
CeBiO2,99,0.258
La2ZnSn5,6,0.296
TmAlZnAu3,156,0.072
BiPdF6,1,0.143
Tb5Mg4Ni,1,0.199
Ba4LaNd2SbO11,1,0.321
Ce5PrAs6,1,0.052
DyTaO4,5,0.132
CsKCeF6,8,0.037
Er8Sn4Sb3Pb,1,0.259
TmIn,1,0.193
As3Ru2,2,0.144
AgHF4,2,0.083
BaLiMgF5,1,0.262
Y2CCl,8,-0.109
LaSmDy2,44,0.093
LuRe2B9,1,0.402
AlCr10P6C,1,0.499
DyZr2Sb2Te,1,0.546
FeCuP2Pd4Ru,160,0.331
NaPr2Be3BMo3AsH,1,0.628
Pr2Br2O,5,0.222
K2NdTeO6,123,0.095
Ni5B7,6,0.313
Al2NiPSe2,1,0.408
Ag2IBr,1,0.134
CuCl3,2,-0.005
Lu2Si3Ni4,156,0.206
Nd3InAu4,25,0.166
YHNCl,8,-0.03
Eu2GaAgO4,8,0.162
Sc2NO,123,-0.011
YZnRe,99,0.294
MgZrCo2,12,0.11
La2Sn3Rh,8,0.29
La4GaAs7,1,0.193
Ba3Sr2O5,1,0.041
Cs4LiHBr3F,1,0.142
Mg8Zn3Ga,1,0.166
ScTa4SiNi,6,0.246
Sr5CaDyTaCuO11,1,0.205
Ti6Co4NiSn5,6,0.409
Cd2I3,1,0.14
K3P7,1,0.052
Gd2Mn2Ge3,1,0.338
Cu3AgBr6,1,0.146
NiBi,63,0.226
ZnRe2RhO8,1,0.435
S,2,0.133
Ca2HgN2,12,0.111
CdHg3BrCl5,1,0.121
Tl2TeBr6,1,0.039
TePd2Pb5,1,0.324
PrP2O7,1,0.127
AgSeO4,1,-0.001
SrCaSm2O6,1,0.199
AgAuO3,1,0.078
Er3Si3Ni,25,0.113
Nb5B8Ru3,6,0.305
Rb3ScSnS4F,6,0.389
Lu2SeS4Cl,1,0.118
GdB2Pt2C,71,0.785
Tb2ScAl3VAgTeS10I,6,0.271
ZrTaCrMo,216,0.307
Tm4Ge5Ir2Pd,8,0.137
Fe2C,10,0.272
NbRu2W,139,0.131
Sr2Os2O7,1,0.038
In2Cu3Te2SI4,1,0.156
Sr2IBr2,8,0.261
SmTm,1,0.058
Rb3SnF7,1,0.093
BaTbBiTeSe,8,0.513
DyFeB7Mo6Ir,1,0.356
NaTlPb2,160,0.11
Co4Si,12,0.099
NdAsPt3,25,0.045
Cs2ZnCuBr3Cl,1,0.612
La2ZnGa3,44,0.115
KLiHO4,1,-0.089
Pr3InPd4,38,0.127
Dy2CdHg,1,0.108
Ho5Si5Pt4,6,0.18
Bi3ClO3,8,0.318
TeMoW3Se4S3,1,0.521
HoZnCu,8,0.384
YTm2SbO8,10,0.214
Mg2ScCuO4,123,0.325
Tb2Si2Ag3S,1,0.347
Nb5FeCo,8,0.188
Na2YClF4,6,0.157
PrAl4,123,0.083
SiNiGePt,1,0.407
InAgPd2,166,0.075
Sr2InAu,160,0.174
Pd5Se4,1,0.152
TmSiAu2,123,0.239
LiCr2O3,1,0.076
RuCl3,2,0.005
LiAlPdRh,216,0.392
SrNbP3,99,0.437
Nd2ZrNbCu2Bi2Sb7Se3,1,0.384
LiSm2Ho,99,0.123
KRuO4,1,0.01
Pr2In4Rh3,1,0.237
LiCuAuOF2,1,0.311
MgBe2Pt3,12,-0.03
La2HoSb7Ir2,1,0.258
Li3La5TeSe4O7,1,0.227
Li2PrY,160,0.158
K3HoF6,6,0.247
BaBr2,8,0.051
BaNaTiMoS8,1,0.187
Mg2Sc3N5,12,0.245
YBi3PdO7,8,0.227
LiMnF4,2,0.042
LuCuHg,216,0.322
Li2CuO2,8,0.226
Lu2Bi3Pt4,1,0.262
Er2AlAgF4,1,0.484
PrGdTiNbO6,1,0.362
Tl2Au,12,0.116
Cu2PdAu,160,0.275
V2IrRh,139,0.119
SrLiMg2InI9,6,0.102
Cs2Nb2Cl11,1,0.025
CeSm6Mg,187,0.139
TaNb5AsSeSO3,1,0.484
NdHg3,2,0.129
Sr4InI5,1,0.152
Ti2O3,8,0.171
MnSnPb2,6,0.485
Ti2Nb2Al9Ni5,6,0.232
CeWN3,1,-0.119
Ho2Pd2Pb,8,0.163
KCdAu,1,0.125
RbEr2Sn8Br,1,0.273
SrY2CuO6,35,0.191
RbCuSe2,2,0.237
LiTiSnPt3,8,0.111
InNiGeSeI,8,0.587
VCr2FeS4,6,0.363
LiPr3MnI5,1,0.214
SrAsPd,99,0.176
BiPd2F15,1,-0.0
Tm3Cu2O,6,0.255
Sr2BiO5,8,0.096
Sc5N3Cl10,1,0.196
CdAg2AuO8,2,0.154
K4Au3F13,1,0.108
CaPbAu2,12,0.086
Tm2Se2O,156,0.152
