Chemical Formula,Space Group Number,Ed (eV/atom)
IrSBr2,12,1.125
MnVSi2,10,0.656
MgIF,216,1.125
SmMg2Se3,214,0.838
SiAgOs,216,1.56
ReAuC,216,2.882
SrCa2S3,214,1.132
Li2CuSi,148,0.356
LuAlN2,8,0.253
MoP3Pd2,214,0.557
BaWC2,164,0.956
TeRuC,216,1.85
WIBr2,164,0.658
SiOs2C,164,0.614
GeSbCl,216,0.397
PrInN2,1,0.318
Nb3AlSi3,161,0.245
CeSi2As,10,0.494
Sm2H3F,214,0.378
Mg3GaSb3,9,0.144
Tm2HgS3,214,0.824
TmTlP,216,1.271
Sn2IN,148,0.216
Ca2HN,10,0.376
MgReC,216,2.183
PdRuBr4,13,0.163
CoSiRh,216,0.244
NdAuSe2,164,0.279
ZrTl2O3,214,0.832
YTlSi,216,0.588
CaIBr,216,0.718
GdBr2F,164,1.351
SmAs2Pt,10,0.309
Sn3MoP3,161,0.442
TiMoN2,10,0.318
MgMoCl4,13,0.469
SrLi2C,1,0.622
MnCuAs,216,0.415
YMn2Sb3,214,0.614
SrMoSe2,148,0.637
TbHoAs2,15,0.021
Sn2PtO3,214,1.24
AlSb2Mo,1,0.14
CsLi2Br3,214,0.511
NaSmI4,13,0.123
BiRuC2,148,1.179
CsTlF2,164,0.148
BaSmTe2,164,0.115
NaAuCl2,148,0.142
DyAuCl4,13,0.114
NiAs2W,164,0.178
MgBeO2,12,0.385
Fe2PN,166,0.381
MgHgC,216,1.084
KCaAs,216,0.141
MgAs2Pb,15,0.25
SrHF,216,0.381
NdHoN2,15,0.088
RbHBr2,164,0.802
Ti3Sb3As,15,0.282
NaOsSe2,10,0.252
TbPH,216,0.366
AlAuSe2,15,0.221
TaSbBr2,47,1.128
Rb3GaTe3,161,-0.046
NiTe4Os,13,0.434
Tm3Sb3Ru,161,0.421
Te2RuRh,10,0.479
HfTiAs2,65,0.266
Zn2AsCl,148,0.224
IrSeF4,2,0.412
VSiPt,216,0.295
CsLuS2,12,0.065
PrEuAs2,164,0.174
Cs3TiO3,2,0.207
HOsO,216,1.25
TlSi2As3,214,0.303
TaBiC2,2,1.153
KNdC,216,1.887
Si3TeOs3,161,0.678
HRuI2,1,0.407
IrSF2,12,0.983
EuBiP2,164,0.218
YSb2Ru,6,0.451
ZrZnAs2,164,0.093
NaLuSi,216,0.909
MgSb2Pb,148,0.139
Ti3Te3N,9,0.438
Sr2SnSe3,214,0.793
MnCdS2,164,0.199
CsOsS2,164,0.28
RbAuI2,164,0.379
H3RuS3,146,0.045
CrP2Ir,148,0.507
Ti3Si3Te,15,0.396
NaLuC,163,0.795
TmTe2Mo,10,0.701
TmSiGe,216,0.626
AgPOs,216,0.882
SmSiSb2,164,0.293
YNbTe4,13,0.208
CdWC2,148,1.092
DyInP2,148,0.451
Sm3ScN3,161,0.372
Ba3CrC3,161,0.597
Mg2IBr3,214,0.696
MnHg2N3,214,1.264
TiPtS4,13,0.301
CsCdP,216,1.164
ScAuSe2,148,0.237
AgAuS,216,0.381
LiTbTe2,148,0.031
Pr3SbO3,161,0.132
Si2GePb3,214,0.544
MoPbS4,13,0.261
TiNbSe4,13,0.164
Tl2AgCl3,214,0.354
BaP2Rh,148,0.342
TbLuSb2,148,0.233
RbSrAs,216,0.362
AgAs3Pt2,214,0.457
Ge3Te2S,214,0.453
HgPH2,10,0.238
TlTe2H,15,0.104
P4OsSe,13,0.292
AuSBr,216,0.669
ReSbSe2,47,0.977
Cr3BAs3,161,0.577
Li2BeC,164,0.091
As2RhN3,214,1.491
TeMo2S3,214,0.948
Rb2H3Au,163,0.07
KScS2,12,-0.086
TbSb2Pt,164,0.185
P2IrC,164,1.341
SbSe2I,15,0.082
VOsS2,164,0.573
MgPtF4,13,0.21
MgSi2W,15,1.258
BaTiS2,164,0.43
VAgN,160,2.717
TiCo2As3,214,0.581
BSb3Rh2,214,0.449
Te3H3W,161,0.1
NbOF,216,0.438
K3NdTe3,161,0.052
SiIrAu,216,1.128
Cu3AsO3,15,0.561
NdTlTe2,12,0.107
GaSi2P,10,0.535
HfP2Rh,164,0.372
HgTe2Mo,164,0.166
SnPtSe2,15,0.239
MgSN2,164,1.36
LuSCl,216,1.254
MgAs2W,148,0.352
ReTe2H3,214,0.513
AsRh2Cl,2,0.408
LuBSb2,164,0.76
ScHCl4,15,0.275
CdMoSe2,164,0.507
Sr3CrP3,161,0.16
SmVN2,148,0.382
GaFeN2,15,0.585
K2PdC,10,0.385
Co2RuSe3,214,0.901
Ti2PdSe3,214,0.737
TbSi2Mo,148,0.436
DyYAs2,164,0.159
CdSnN2,10,0.318
Tb2CeN3,214,1.782
CdIrS4,13,0.314
HgIrCl4,13,0.186
NaTiTe2,12,0.048
LaTl3O3,161,0.4
NbPF2,10,0.522
Mg3CrAs3,161,0.165
Sb2PdPb,10,0.425
RbPIr,216,1.727
PrLu2As3,214,1.016
Te2MoPb,15,0.396
Cr2SbI,6,0.646
Tm3PC3,161,0.354
HoTlAs2,148,0.277
TlBN2,164,1.907
SiSnP2,164,0.771
YHS,147,0.743
NaHgSe,216,0.186
SmSbH,216,0.803
Ti3Te3P,161,0.515
Ba2Sb3W,155,0.621
ZnSb2Pb,164,0.129
HfMnC2,15,0.761
Er3TmC3,167,0.104
KFeSi,216,1.86
NdV2N3,214,1.717
GePdS2,15,0.203
Tb3CrSi3,15,0.461
SmSiRh,216,0.495
SmSi3P2,214,0.699
CrPdS2,10,0.1
DyTlTe2,148,0.099
ZnAu2C,164,1.246
HgAsW,216,1.139
Mn2BiSb3,214,0.429
Tl2RuSe3,214,0.26
GaSi2Bi,10,0.369
MgNb2Si3,214,0.683
Na2ZrTe3,214,0.445
ZrMnTe4,13,0.272
Hg2Sb3W,214,0.347
AlHO2,10,1.745
VGeAs2,148,0.415
GeP2Ru,164,0.576
NaCoC,216,2.5
NbHS,216,0.545
Hf2As3Au,214,0.683
LuP2Rh,12,0.244
SnHN,216,1.028
NdAs2Au,15,0.174
Ba3As3Os,161,0.333
P2WAu,10,0.364
Mg3CrSi2,214,0.64
SrHI,216,0.466
Lu2MoC3,214,1.332
DyAl2P3,214,0.91
RbNa2P,148,0.086
Sn2PF,148,0.228
Si2NiSe,148,0.437
SmTeAs2,6,0.335
FeRuSe2,15,0.344
NbRuN2,15,0.338
AlP2Rh,15,0.477
Co3GeC2,214,0.853
ScWS4,13,0.314
PrAgS2,164,0.149
NdCrP2,15,0.441
ScGaAs2,148,0.4
Fe2BiAs3,214,0.599
VAs2C,148,0.971
TlRh2N3,214,1.228
TmTe2H,10,0.35
CrBiC2,10,1.431
NbAlSb2,148,0.349
RuWN2,166,0.386
NaTl2Br3,214,0.356
ZnTeO4,13,0.02
Y3Si3B,161,0.383
Mg2SbI,164,0.69
LaPrAs2,164,0.215
SrCaS2,148,0.198
ReP2Br,6,1.022
IrPtSe2,10,0.461
CoP3Au2,214,0.568
SbMo2I,164,0.892
CrHCl2,2,0.672
FeTe2Ru,2,0.552
MnIN2,10,1.481
CsMnS2,15,0.012
AlGaSb2,148,0.29
InBiC2,10,1.818
Si2SnGe,10,0.465
CeHgH4,7,0.16
SiB2Se,15,0.597
CoIrN2,10,0.286
Hg3Br3N,161,0.366
DyPC2,164,1.412
Si3PtSe2,214,0.643
CuOsS2,164,0.409
Sr2NCl,15,0.164
SnSeN2,1,0.621
SeSN4,13,0.952
Rb3VTe3,15,0.063
SmMnTe2,148,0.284
RbCuS,216,0.809
KAsAu2,164,0.225
Pr3DyC3,161,0.169
MnAs2Pb,164,0.317
Cs3Si2As,214,0.389
Fe3Si2Cl,214,0.897
SmReO4,13,0.111
SiSnPd,216,0.631
RbCu2As,12,1.382
CuSnF4,13,0.33
Hg2MoC,164,1.089
ScGaP2,10,0.792
CrAs2Ru,164,0.178
TiZnN2,15,0.202
LuPC2,10,0.995
Tl3AgS2,214,0.166
NaErI4,13,0.051
AlSb2Ru,2,0.35
GaIF2,1,0.487
TmTiS2,65,0.297
HoAuS2,2,0.197
Na4HN,13,0.248
Cs2BeSi,1,0.567
LaSmAs2,164,0.532
AlHS,216,0.826
TlH2I,148,0.572
SmMgSi,216,0.798
NiMoC2,164,0.505
CoSb2Se,148,0.328
TmSiAu2,10,0.296
TmTiAs2,148,0.25
SrSnAs2,148,0.233
CePI,216,0.567
TlSb2P,15,0.116
Mg2AsBr,164,0.302
NaTlCl2,15,0.131
WAuS4,13,0.195
SiOsCl2,15,1.144
CsTe2Os,164,0.558
SmErN2,10,0.363
RbAgTe,216,0.345
CsTe2Au,10,0.569
AgSbP2,164,0.303
LaScAs2,6,0.464
SrSi2Os3,214,0.758
ReSF,216,1.683
Pr3Te3N,146,0.081
ReSbC,216,1.816
CsNiAs,216,1.183
CoP2Au,164,0.32
IrRuC2,10,0.785
DyAlAs2,15,0.225
BAuO2,2,0.494
TbSi2Pt,148,0.238
DyNbC2,148,0.317
BaSnS2,15,0.152
MoAuC,216,1.172
KHg3Se2,214,0.386
LuFeP2,1,0.407
LiNbP2,148,0.27
CuSi2Mo3,214,0.656
CsHoF4,13,0.243
NdAgC,216,1.465
Rb2IrC,164,2.241
ZnMoP2,10,0.381
AlHgF4,2,0.187
ReOsSe2,164,0.931
MoI2Cl,2,0.107
NdInP2,10,0.461
CaPbS2,148,0.195
TiWS2,164,0.376
NaBO2,148,0.022
NaMnS2,47,0.58
Ge3PI3,161,0.213
LiGaO2,10,0.444
LuSb2Os,164,0.256
Y3SbSe3,161,0.082
SrRuCl4,2,0.255
NaTbCl4,13,0.072
ReCSe4,13,0.624
AgAsS2,164,0.133
LiAgS,216,0.219
Ca3CuC2,214,0.756
ErSi2As,10,0.605
Nb2CuSi3,214,0.712
TbP2Ru,10,0.658
CaPt3C2,214,0.941
HgHF2,1,0.532
Rb3GaAs2,214,0.086
FeWSe2,164,0.297
Sm3TeSe2,214,0.966
VCuSb2,164,0.248
LiScO2,148,0.254
SiSbF,216,0.601
NdLuAs2,164,0.19
MgNiS2,10,0.567
TiReTe2,1,0.836
CoTe2Au,2,0.256
ErAgBr4,13,-1.401
W2CS,15,0.666
RbAuF4,13,0.248
TbSeCl2,164,0.41
CsRbF2,10,0.124
BeReC,216,1.933
Cd2As3W,214,0.309
ReSiHg,216,1.142
NbTlC2,148,0.93
Ca2WN3,214,1.17
AgBiSb2,164,0.093
CrSnCl4,2,0.149
LiAg3Te2,214,0.164
SnRhO2,15,0.644
LuBAs2,148,0.649
ZrSeO4,2,0.024
GePdO2,15,0.725
SmHoN2,148,0.277
Bi2Sb3Au,214,0.188
CsTmN,216,3.074
BeSb2Pb,148,0.165
DyHO,216,0.682
Hg3PCl3,15,0.154
Ti2AsI,10,0.728
DyMoC2,148,0.406
CdSnC,216,1.422
CaP2Se,164,0.88
Er2ReN3,5,1.547
HgBO2,164,1.095
HgIBr,216,0.419
BeVTe2,2,0.47
RbErH4,13,0.163
PtSeF2,1,0.386
ZrVSi2,164,0.525
VPN2,148,0.499
SrTiSi,216,1.123
AsWS,216,1.455
ReP2C,10,0.984
Si3Mo3P,15,0.499
TmCrBr4,13,0.278
SmHoN2,10,0.789
Ca3MnAs3,161,0.142
InAs2Ir,148,0.366
Si3Bi3Au,161,0.438
LiSnSb,216,0.225
CdMoH4,13,0.057
BaTmC,216,1.843
BaOsO2,2,0.369
SrCaSe2,148,0.188
Na2SbH,164,0.083
TbP2Rh,10,0.644
SiHgPt,216,0.528
AsHPb2,164,0.295
NaAlBr4,13,0.129
K3BP2,214,0.201
TeRuC2,15,1.559
TbP2Ru,164,0.355
TlFeSi,216,1.158
KRbCl2,15,0.048
LuTe4P,13,0.2
DyInN2,164,0.358
SiHg3Cl2,214,0.581
OsPdSe2,1,0.438
RbHgH2,10,0.184
ZrAs2Ir,15,0.325
SmTmSb2,164,0.085
Fe3Sb3W,146,0.5
CsTbS2,148,0.164
Ba3SbF3,1,0.284
CsV2As3,214,0.586
CsAsS2,148,-0.09
Be2PCl,164,0.692
KWI4,13,0.261
Sm3Si3B,9,0.414
BaReH4,2,0.161
HfCrAs2,10,0.365
TlAuS,216,0.531
Nb2GaP3,214,0.688
BaVC,216,1.781
Tl3Te3W,146,0.261
NdHo2N3,214,2.004
LiTiH4,13,0.076
BeP2S,8,0.502
Tl2BAs3,214,0.568
SbPIr,216,1.204
Sb3Ru2Rh,214,0.699
NbSi2As,10,0.483
AgTe2Ru,10,0.515
AsPOs2,164,0.634
MgAgSb,216,-0.034
SnHBr,216,0.587
DyAuI4,13,0.087
CsLiCl2,15,-0.007
Na3IrN3,1,0.298
PH2N,148,0.048
TeAsP,216,0.475
CsH2Au,148,-0.05
SiAg2Mo,148,0.492
MgPH,216,0.765
AlTlF4,13,0.168
TbSb3As2,214,0.463
MnTlI4,13,0.097
HgPdI4,13,0.225
BiSbAs2,15,0.086
TlAg3Se2,214,0.298
Tl3MoP3,161,0.474
BeTlP,216,0.694
CuH2Cl3,214,0.974
Te2MoSe,148,0.303
Sm3H3N,1,0.247
BeIrN2,47,0.811
SrCaSi,216,0.11
TlP2W,164,0.295
CrSb4Ir,13,0.236
SnPdS2,10,0.158
TiMnP2,148,0.331
ErAsN2,15,0.15
ReAuN,216,1.721
TmTiAs2,15,0.153
HfSi2Ru,65,1.051
TmSO4,1,0.202
RuRhN4,13,0.902
InP2Rh,2,0.418
PrScN2,164,0.526
BiAsI2,164,0.688
LiCoTe2,164,0.097
DyHO2,164,1.597
NbAs2H,15,0.447
