Chemical Formula,Space Group Number,Ed (eV/atom)
SrRhI2,6,0.666
SmAsSe4,1,-0.006
TiBeBr2,6,0.533
CaRuI2,6,0.913
TmBeO,156,0.556
MgSbAu,156,0.241
KAuCl2,6,0.177
LiZnN,187,0.326
NaH2Ir,25,0.494
NbInO,25,0.732
TlHgSe,156,0.424
LaTlN2,156,0.576
PrBrCl,47,0.31
LiLaCl,6,0.495
SmPW,156,0.897
MgSiPd,187,0.072
SmZnBr2,6,0.494
KCoI2,6,0.359
CaIrO,123,0.875
TmGeAs,47,0.389
ZrVTe2,6,0.401
CaCeN2,123,-0.034
CsNbF2,25,0.955
SmPbBr,38,0.438
CsHgF,47,0.275
NaScBr2,6,0.466
ZnCdCl,25,0.347
KRbO,123,0.232
KAlCl2,1,0.447
RbFeI2,6,0.505
LiSbRh,187,0.264
TbBrF,47,0.649
LuAsSe4,1,0.123
PrNbP,156,0.535
TlFeBr2,6,0.454
MoSeBr,156,0.344
SiOsRh,47,0.622
KInTe2,6,0.298
CuPbF2,25,0.819
CoPdBr2,6,0.228
TbScP2,123,0.092
AgPF,25,0.84
NaGaO,187,0.888
Dy2SbAs,123,0.075
TbDySb2,123,-0.01
GaSeBr,156,0.144
ScBiP2,6,0.235
ReSiPd,47,0.617
LiSnP,187,0.394
BaGeSb2,6,0.33
SmTe2Se,99,0.357
ZrTiSe4,1,0.024
CrCdTe2,6,0.411
DyH2F,156,0.262
LiCuO,123,0.533
LaGaS,123,0.913
TbCeSi,156,0.579
SrTe2Ru,1,0.96
CsEuTe,47,0.236
MgSnSb2,6,0.092
RbPrI,25,0.755
RbErS2,123,0.597
LiEuTe2,38,0.318
HgICl,156,0.134
DyPO,25,0.97
EuPdBr2,1,0.358
CrSiOs,99,0.703
EuIBr,123,0.133
HgPBr,8,0.337
NbSI,187,0.791
SrHgSb,156,0.095
MgMnS2,156,0.115
InMoN2,38,0.531
LiMnH2,47,0.572
CrFeSi,47,0.805
KCuF2,123,0.585
EuTeI,187,0.605
CeCdAs,47,0.49
Er2AsP,123,0.041
GdAsSe4,1,0.062
NdGaSb2,123,0.349
CeTiO,123,0.142
SmCdSe,47,0.425
MnSiP,187,0.621
DyScAs2,123,0.067
CdICl,156,0.095
LiMgN,187,0.46
TeCl2O,99,0.988
NbAsS2,156,0.961
Li2BrF,156,0.257
MoPSe2,8,0.726
HoNbS2,164,0.262
SmTlCl,25,0.437
MnCoSi,187,0.232
ScSb2Os,6,0.406
RbTmBr,6,0.971
CeTiSi,156,0.627
MgCuP,187,0.236
LiDyBr2,6,0.338
SiTe2Rh,25,0.624
Sm2CS,123,0.143
EuBeF,25,0.88
EuSeBr,187,0.414
CeYSb2,123,0.011
KSrSb,156,0.221
HfRhO2,6,0.97
CdClF,187,0.274
PrMnP,187,0.502
TmPdCl2,6,0.594
ErIF,47,0.692
NdAlAs,156,0.714
HfPH,187,0.515
EuHBr,187,0.29
ZnMoS2,8,0.929
CaCuSb,187,0.182
LuCrP,156,0.728
SmNiI2,6,0.469
SmCuS2,156,0.141
CeAgO,123,0.453
CdHgBr2,25,0.22
TbPbS2,99,0.406
Na2TlAs,6,0.16
PdPbBr2,6,0.296
ZrVSe2,156,0.42
TbPPt,187,-0.123
BeBrCl,156,0.303
MgCrSe2,6,0.143
FeCoCl2,6,0.819
HfHN,187,0.07
GdHoAs2,123,0.002
SmSbH,187,0.076
CrCoP,47,0.615
GaAuF,25,0.306
CsEuS2,123,0.416
EuAsAu,156,0.011
CeCrP,156,0.454
NaRhBr2,6,0.662
MnBiSe2,156,0.079
GeBrF,156,0.274
RbCaAs,187,0.268
TbTlAs,47,0.455
KNaBr2,6,0.05
CuBiCl,25,0.369
GdHgF,25,0.347
GaSCl,156,0.137
MoSeCl,156,0.286
CdSnSb2,6,0.169
TlAgF2,25,0.153
SiMoPd,47,0.587
LiBeAs,187,0.084
ErSeBr,123,-0.089
RbCuTe,187,0.113
PrOF,187,0.514
ErLuSb2,123,0.028
VCrAs2,6,0.366
TlBF2,6,0.672
NdCuCl,25,0.643
CrGeCl2,6,0.607
FeRhBr2,6,0.469
TeSF2,25,0.759
SmAgF,25,0.558
BeCuCl2,6,0.69
LiYBr2,6,0.424
YHSe,187,-0.124
TmCuF2,6,0.495
MgSiRh,187,0.069
NaFeI2,6,0.452
Eu2SiSe,123,0.264
TmOsS,156,0.739
SnPtCl,25,0.502
TiGeBr2,6,0.609
LiSbAu,47,0.169
PrCoP,156,0.111
CsDySe,156,0.476
RbYBr,38,0.957
HoAgS2,123,0.153
HfCrAs2,6,0.35
CsCeS2,123,0.604
TmHBr,187,0.385
CeHgCl,6,0.429
LiVTe2,6,0.256
CoWCl2,6,0.453
CeHgSe2,123,0.234
AgPCl2,1,0.349
LiCrBr2,6,0.438
EuGeBr2,6,0.716
NbBrF2,25,0.617
AlHgS,25,0.402
