Chemical Formula,Space Group Number,Ed (eV/atom)
LiAc2Si,1,0.028
VSiTc2,1,-0.073
Cs2PdCl4,1,0.079
ZrB2,1,0.215
Cs2NaTbCl6,1,0.006
TaRe,221,0.000
YAl2Ni,11,0.024
Er2NiRu,160,0.057
LiGaAu2,12,0.000
NiB,1,0.094
TmPaO4,1,0.000
Ni,2,0.477
PbSeO3,1,0.253
PmTl3,1,0.235
Zr2C,8,0.050
PmYIr2,8,0.023
TaZnCo2,2,0.088
KRb2CrF6,1,0.282
SmAl4Ni,1,-0.016
Sm2Ir,1,0.337
Zr2SiTe2As,1,0.128
ErMgCd2,1,0.000
Mo3Pt,1,0.061
GdInPt4,1,0.158
IrSe3,1,0.112
MgMnPd2,12,0.576
LaPt3,1,0.128
YIr3,1,0.032
MgPdF6,2,0.000
NaCd2,2,0.000
Ti2Sb,2,0.128
InAs,119,0.266
Er2PdRu,44,0.000
Ta4B3,1,0.085
AlFe2W,1,0.282
Ti2Pt7,1,0.000
PmLuTl2,12,0.107
TaGaFe2,225,-0.101
Pm3Ge,6,0.000
Ba2UCdO6,1,0.158
Cs2HfF6,1,0.057
Hf2Cd,12,0.032
CoF2,1,0.111
Fe3SnC,1,0.215
ErTl3,6,0.088
TiZnPd2,71,0.016
InHO2,1,-0.056
Sc2AgOs,42,0.477
CuBiSeO,1,0.141
Ba(GeAu)2,1,0.180
InHPt4,1,-0.095
PmPrTl2,1,0.028
Ba2CdSnO6,1,0.723
RbSmSe2,1,0.050
SrAcAu2,2,0.016
TlGeCl3,1,0.261
TiSiRu2,1,0.000
TiCuF6,2,0.000
LaCo5,1,0.235
Cs2IrF6,1,0.024
GdIr,1,0.411
LaOF,1,0.000
Hf3P5,1,0.000
V2Re,1,0.032
ErTlSe2,1,0.261
SmHoHg2,1,0.166
CeInPt4,1,0.107
TbSe,12,0.128
Sr(InAs)2,1,0.477
RbUO3,221,0.111
MgCuH,1,0.471
ScCdAg2,8,0.000
Cu3SbS4,1,0.023
Sc,2,0.000
Ac3In,8,0.042
K(PRu)2,1,0.032
ZnF2,58,0.412
SrBrF,1,0.111
Pm2ZnPb,8,0.029
Mn3PtN,1,0.048
RbAu3Se2,1,0.075
TaN,1,0.107
Sm2IrPd,8,0.196
CuBr2,1,0.375
CuPbF6,1,0.337
SrSn(BO3)2,1,0.477
ScPd2Pb,44,0.032
VH2Os,1,-0.016
RhSe3,1,0.337
Ba2Cd,2,-0.002
Li2CuGe,5,-0.016
HfRu3,1,0.180
Ti2OsRu,1,0.376
Eu(HPt)2,1,-0.064
PmRh2Pb,8,0.028
SmAlCu,1,-0.080
ZrIr3,1,0.000
DyIr5,1,0.723
Nd2CdSb4,1,0.477
SiHRu2,1,0.387
ScZnPd2,12,0.016
BaRhF6,1,0.074
Zr4Ni2P3,1,0.016
K2NaTlF6,1,0.106
ScCdPd2,12,0.006
ScCd,221,0.381
Zr2Ni5Sb,1,0.215
CeB2,1,0.128
LuNi,1,0.074
CuBr,8,0.000
NdZnPd,8,0.381
Al2VOs,1,0.029
Ge5Rh7,1,0.000
PmSe,166,0.141
Nb2B2H,1,0.000
BeAu2,5,0.261
Ho,12,0.723
GdDy2Ni5,1,0.107
Ir3Se8,1,-0.098
Nd2MgAl,225,-0.002
RbP,1,0.032
ThRu,2,0.471
Cs2KYCl6,1,0.111
FeB5Mo2,1,0.160
Mn3AlC,1,0.337
ErPbAu,44,0.000
Lu2ZnRu,8,0.000
Tb3Sn7,1,0.177
TbPPt,8,0.023
Sr2IrPd,1,-0.139
VCo2H,1,0.099
BaBr2,1,0.160
Ta2V,1,0.412
CeGa3Pd,1,0.029
K2NaVF6,1,-0.073
Nb3C4,1,0.411
ThGaCo,1,0.088
TiN,1,0.000
CePt3,1,0.000
Th3Al3Co2,1,0.410
Al2FeOs,1,0.000
VCu3,1,0.387
Ta2AlV,1,0.079
Co3Cu,1,0.000
AlCrRu2,1,0.079
MgZrF6,2,0.028
CsHoO2,1,0.158
Mg,2,0.046
CeBiAu,1,0.477
H3BrO,1,-0.071
TaCo2,1,0.000
TmLuTl2,1,0.058
Gd,1,0.387
BeAlIr2,1,0.000
Pm2HPb,1,0.050
TmMgCu,1,0.235
ScGaPd2,12,0.106
TiRu3,1,0.000
Mn2V2O7,1,0.000
V3Ir,1,0.095
YMgAu2,8,0.028
Hf2Ge3Te,1,0.000
Tc3Ni,1,0.723
Cs2AgBiCl6,1,0.094
FeB2Mo,1,0.282
Gd3I,1,0.095
NbRe,221,0.141
LiZrRh2,2,0.042
Cs2KInCl6,1,0.090
NdPt3,1,0.028
CsAcTe2,8,0.036
ScS,225,-0.080
Dy2AgRu,5,-0.010
ZrZn,123,0.023
V,2,0.387
Er(PRu)2,1,0.079
BaGaSi,8,0.006
VCoSi,62,0.215
InAgO2,1,0.471
Rb2Se,2,0.032
Th2SeN2,5,-0.098
YPPt,8,0.075
Al2O3,1,0.004
Be5Bi,1,0.387
Ca(PRu)2,1,0.000
Sm2AgRu,8,0.128
SrAs,1,0.158
CrF3,1,0.158
Cs2LiLuCl6,1,0.411
Pu2S3Cl,1,0.032
