Chemical Formula,Space Group Number,Ed (eV/atom)
Ba5Sm8Mg4O21,87,0.030
GaCl3,148,0.096
V2S3,12,0.155
Cs2SiBr6,139,0.048
SbF5,63,0.006
RbTbSe2,166,-0.169
Bi2Cl2O,123,0.768
LaLuS3,63,0.019
PbS,62,0.072
Li4Al2O5,14,0.062
TiBiClO3,62,0.258
La3Se2NO,12,0.021
NbTl3Se4,217,-0.066
KH2ClO,63,-0.083
CsSb2PO8,15,0.019
LiScO2,14,0.120
MoPO4,33,-0.061
TaVO4,13,0.145
SnO2,7,0.215
GeS2,227,0.204
CsNa2CrF6,225,0.041
MoF3,193,0.032
Ba5Nd8Mn4O21,87,-0.012
LiMg2F5,58,0.059
Li2S,19,0.045
MnBr3,14,-0.029
VInS2,194,0.119
P2SeO7,205,0.052
As2S5,6,-0.009
Ba5Sm8Cd4O21,87,0.004
CuS,194,0.001
RbInSe2,15,0.094
LiAlGeH2O5,33,0.114
ScBr3,14,0.121
GaBiSe3,160,0.134
Li2SO4,63,0.045
Pr3Se2NO,12,0.013
LiCa2OF3,12,0.031
TiBr3,14,0.068
YF3,193,0.295
TiSe2,14,0.160
Be2SiO4,62,0.066
FePO4,63,0.027
B2O3,115,0.243
La2SnS5,55,-0.015
LiSbS2,15,0.031
PdO2,12,0.015
Cs2PHO4,4,0.001
Cu2S,19,0.320
MoP2O7,205,0.440
GeO2,139,0.025
MoS2,227,0.343
Sc7AlO12,204,0.550
BaWS4,141,0.236
SiSe2,5,0.323
BaSm2ZnO5,62,0.511
Li2SO4,62,0.045
CsCaF3,161,-0.072
KCl,63,0.083
SrV2O4,62,0.016
KTbSe2,166,-0.155
CrN,131,0.569
CaCr2O4,141,-0.147
Ba3Ti2O7,139,0.052
Y7AlO12,204,0.595
LiCaBO3,14,0.000
CaSc2O4,141,0.032
VI3,11,-0.068
Li2ZnF4,13,0.054
Rb3Dy2Br9,194,-0.034
KNa2VF6,225,0.048
ScHO2,8,0.125
VO2,14,0.018
VPO4,63,-0.081
MnS,194,0.021
LiCdF3,12,0.149
V2S5,6,0.171
MnS,156,0.000
SrTlBO3,14,0.135
NaMnF3,14,0.063
SiO2,139,0.246
Li2Mg3F8,166,0.132
NaSb2PO8,15,0.019
V2O5,63,0.011
FeCl3,148,0.053
VSe,194,0.445
Si3N4,62,0.635
Rb2S,19,0.047
RbVSe2,15,0.043
YAsO3,14,0.031
Y2O3,115,0.222
LiH2SeCl,63,0.007
CaS,156,0.000
CuS,186,0.001
ScN,131,0.089
MnO2,7,0.123
NaCaF3,14,0.162
Rb2Se,61,0.058
MnPO4,82,0.051
CdI2,186,0.001
SnPbSe2,166,0.004
AlI3,11,0.006
MgZrF6,225,-0.053
CsFeS2,119,-0.010
RhCl4,15,0.204
Y3Se2NO,12,-0.022
SnPbO2,166,0.431
Sm3Se2NO,12,0.001
Ga2S3,12,0.226
CsCl,63,0.043
SiSe2,61,0.323
