Chemical Formula,Space Group Number,Ed (eV/atom)
Rb2AgBr2,25,0.471
ScRu2Br7,1,0.215
BiPd2F15,1,-0.0
FeHO2,4,0.147
Er2CdIn,225,-0.02
Cs3TeBrCl5,1,0.169
Tb8BRu4C7,1,0.162
KEu2Zr2BO9,1,0.072
Lu2Fe3Si5NiPb,1,0.402
Sm9Ru5,6,0.201
K2ZnC4O11,1,0.068
Dy6In7Ge2,6,0.253
K2Br3,12,0.083
La3AsPdSe2O,6,0.224
ZrIrPd2,225,0.383
SrLi2P,11,0.097
MnCuAgSnS4,1,0.129
TlV3PS4,1,0.215
SiICl3,1,0.016
RuCl3,2,0.005
LaMgPd2,8,0.131
LuIr3,225,0.588
TiVS4,1,0.062
CsP2F8,1,0.667
ZnAgSCl,8,0.094
LiAlIr2,225,0.067
Li2Se,166,-0.043
Zr2I3Br,1,0.135
LiBe2Si2O7,1,0.19
LiTiSnPt3,8,0.111
Sc3SnGeSbIr5Pt,6,0.349
Nb11Si4N,12,0.044
Na3H5CO7,1,0.126
Ti4B3,6,0.222
CdBiI5O,1,0.085
Pd3Pb,225,0.1
Ag2BiSbS4,1,0.066
MgZn2Ni3,160,0.27
Y2CdBr6,1,0.345
GdHg,8,0.049
NbRu2W,139,0.131
SeI5,1,-0.111
AlCuTe2,1,0.314
VZnOsRu,1,0.148
NdNiP,187,0.118
PrLu4TeSe5,8,0.106
CeNiBi,216,0.086
K3GaSe4,1,0.236
Co,225,0.09
Pb3I5,1,0.201
Bi3BAs2Pd6PtRh,6,0.118
Ti3Bi2PbO8,1,0.235
WS2,1,0.168
Nb2Se2O,5,0.286
ErLu2In,123,0.097
Sm2DyMg5,6,0.116
ErTl2S,8,0.363
Hf4AlGe3Ru2Pt,1,0.393
Ti,63,0.094
NdSm2O6,164,0.125
ZrAu2,164,0.076
KBiCl3,1,0.106
ScInCu2,225,-0.009
LiMnI3,1,0.077
Ba2P2O7,1,0.044
NiO,225,-0.302
Y2GaAg,225,0.009
TbCuNi3Sn,8,0.445
HgI3,1,-0.023
ZnGaIr2,225,-0.059
Tl3ICl4,1,0.211
RbCl2,1,0.079
Tb2DyY,123,0.079
TaRu3,44,0.403
Ba4LaNd2SbO11,1,0.321
Sr3As3Pd3O,8,0.185
NbI4,1,0.004
Te7MoW,1,-0.029
Bi2Se3,8,0.009
Te4Mo3W2Se3,1,0.355
ZnPd4Pt,8,0.068
CeHfZr2Ti8Pb3,1,0.279
BeRu,12,0.256
BaSrLiRh9,6,0.236
BaDy4O7,8,0.151
K3P7,1,0.052
Tl4ClF3,1,0.145
Tm2ClO3,8,0.294
HoLuS2,160,0.038
CaAlAgF6,8,0.115
RbDyBr4,1,-0.018
Eu3F8,2,0.028
Lu2Si3Ni4,156,0.206
Ba2SrSe5,1,0.129
LiCuO2,8,0.025
LaPrInHg,1,0.195
ZnF3,2,0.126
Lu4In3Rh4,6,0.247
Tm3Cd2In3Au,156,0.109
BaBi,10,0.089
Mg2ScCuO4,123,0.325
GdGaIr2,225,0.044
BaCaH4,8,0.112
YPt3,221,-0.173
KLiHO4,1,-0.089
LiHfRh2,225,-0.085
MnZn3Cr3HS12,1,0.203
PrCuSi2Au,107,0.239
NaMnO2,12,0.058
TaBi4Pd6Pb3Se2,1,0.261
SnCl4,1,0.039
LiBeH2,25,0.295
TbI2,12,0.011
BH4,1,0.053
Sm2O3,12,0.032
Zr3GaPd4,25,0.154
Ba3Sr,1,0.027
Nb5S4,6,0.19
GaAg2PbS4Cl,1,0.158
NdTmGe,11,0.128
CdSbTe2,12,0.183
Au3Se4,12,-0.017
Er5Ga5Cu4,1,0.286
NbTe5MoWS2,1,0.154
Li5P2,2,0.185
Sc3Tl,12,0.202
BaSrCdHg,8,0.099
MnAu4Se5,1,0.122
Tb2Cl3,11,0.193
CsRbPrCl7,8,0.173
Ti2AlZn,25,0.077
CaHg2Pd,225,0.108
Sc7P8Au,1,0.143
HfTa3PPd11,1,0.21
Cu2Bi2SeO6,1,0.169
KAuI2,1,0.045
Nd2SO2,36,0.142
Hg6AuCl5,1,0.195
Li2FeF4,1,0.101
Ni3Sb,221,0.008
Zr6GaCuNi2,38,0.272
Na2OF,47,0.274
Y3Tl,12,0.268
Ta3CuSi3Pt5,8,0.097
Ce2IrPd,99,0.068
Pr3Mg5Ni3,6,0.13
Pd5Se4,1,0.152
Rb6TeIBr11,1,0.117
Er3Si3Ni,25,0.113
Tb5SmS6,1,0.042
SrTa3SO7,1,0.187
YBi3PdO7,8,0.227
Bi2Br7Cl,1,0.14
HoTe2,2,0.242
BaSrCl4,6,0.093
NF7,1,0.53
NbSi,8,0.212
SO4,1,0.235
Ti3Al2C3,1,0.292
VSe2,12,0.033
Al3Pt4,2,0.043
CeTlAu2,225,-0.012
HoSc2HO5F,1,0.206
Y2CCl,8,-0.109
CuH4O5,1,0.058
AlI4,1,0.055
SrPrNbO5,2,0.094
CaPbAu,160,0.106
Dy4Cu2Sn3,1,0.354
Zn2As5O13,1,0.12
Tm3ReO8,12,0.027
LiDyCoSe3,1,0.212
SrYZn3As7,1,0.386
Ta2BC,123,0.08
RhO2,12,0.127
SrEuMgIn3O,1,0.298
BaCuF3,6,0.413
LaCoSi,1,0.184
SrSmS2,99,0.091
Zn2H3ClO3,1,0.069
MgZnO2,59,0.138
Sc2Cd2BAuO4,1,0.567
NdAsPt3,25,0.045
Na4LaZnO5,6,0.106
Rb2F3,1,0.154
SmMgAg2,225,-0.039
Hf2AlCuC2,99,0.134
ScPd5,189,-0.018
Ce2Cd2S5,1,0.191
LiPt3,139,0.223
Rb2Au2Cl5,1,0.101
La4PrMg,1,0.107
Li3Bi,225,-0.346
BiPdO3,8,0.224
SrO,5,0.025
Ca2HgN2,12,0.111
TbTe,62,0.019
Sc5N3Cl10,1,0.196
SrLiAgPt,160,0.227
KCaHBr,1,0.449
MnSiGeRh,5,0.298
SrIn2,6,0.316
Cs2Si3RhO10,1,0.119
KAgRuF7,8,0.296
CeSi4Ni5,38,0.226
MnAl2Ru,225,0.136
Ho2Pd2Pb,8,0.163
Ru2PtW,225,0.355
CuTeO4,10,0.029
Y3Sn4Pt3,156,0.263
K2CuAuCl6,1,0.053
MnCdPd2,225,0.105
Ba2RuO6,1,-0.118
CoAg3Sn2Se5Cl,1,0.176
PrLuHg2,225,0.105
Dy2Cu2Ge,12,0.269
K2ZrInO6,8,0.336
TbTi2IO5,6,0.14
TbGa,63,-0.037
ZnAu5,5,0.113
LaSbO,2,-0.032
V3CuAg3S7,1,0.259
Mo4SeS8,1,0.012
Hf3AlZn,107,0.109
Sm3S4,6,0.112
Nb8B3Ru2C,6,0.15
Ba3Pd,8,0.362
Li3Cu4BrO6,1,0.291
La2ZnGa3,44,0.115
CdSbF4,6,0.321
CsPdCl3,1,0.035
Cu3AgBr6,1,0.146
CaLa3H8,1,0.137
ZrGa4Pd5,6,0.186
BaPdO3,8,0.002
DyAg3,25,0.275
KAgBr3,38,0.028
