Chemical Formula,Space Group Number,Ed (eV/atom)
CsHoF4,13,0.045
VSiS4,13,0.287
NaTmS2,164,0.211
TmZnSe2,164,0.295
AgAuCl4,13,0.068
MnVCl4,13,0.109
MoPdCl4,13,0.163
NbRhO4,14,0.180
RbTe2Ru,15,0.077
LiH2Au,15,0.142
GdTiAs2,166,0.003
ErHO,216,0.306
RuSO,216,0.155
TmZnSe2,1,0.295
CrAgI4,13,0.083
V5CrTe8,166,0.431
KTlCl2,10,-0.054
SbBr2F,15,0.144
Tl8SbBr5,15,0.193
SrCaF4,13,0.091
EuCuS2,10,0.154
LiTaAs2,225,-0.007
TbNdAs2,225,0.163
GeRhCl4,13,0.741
MoBrO,216,0.082
SmTiH4,13,0.116
LuSi2W,225,0.165
DyMnN2,10,0.559
VBrF2,12,0.072
TmBrF,216,0.281
NdGaP2,225,0.440
LuScN2,164,0.297
NaGaO2,15,0.234
TmHgP,216,0.613
ZrPtS4,13,0.311
SmNiF4,13,0.331
CsRbH2,15,0.580
VHgF4,13,0.130
NaYbSe2,15,0.057
LiErBr4,13,0.135
CuSbO2,15,0.270
NdH2Cl,10,0.111
SmCuO2,225,0.312
TmRuS2,164,0.431
TlIr5O8,12,0.058
KYbSe2,15,-0.009
MgTe4Mo,13,0.271
SmMoAs2,225,0.022
GaBrCl2,2,0.084
TiWSe2,164,0.580
KBiSe2,15,-0.010
DyCuCl4,13,0.273
RbAgBr2,15,0.073
Ni2SeS,63,0.269
CaPtSe2,10,0.106
TmRuCl4,13,0.255
TiCoP2,10,0.158
LaHoAs2,225,0.229
LaTlSb2,225,0.019
SmFeH4,13,0.044
CsIrSe2,2,0.502
RbErF4,13,0.093
TbSnS4,13,0.142
MgFeO2,15,-0.003
TiAsN2,164,0.071
SrZnTe2,10,0.105
YHI4,13,0.385
NbHO,216,0.942
NaAuCl2,164,0.014
LiScTe2,10,0.098
RbCuS,216,0.748
YMnSb2,225,0.487
RbScTe2,164,0.190
TlAsO4,13,0.045
TmMoCl4,13,0.192
ScCuO2,10,0.429
LiScTe2,2,0.098
Cs2ClF,15,0.340
InHF2,15,0.195
TmVN2,164,0.242
RbCdAs,216,0.268
GdErN2,164,0.137
SrMoCl4,13,0.221
K2RbAs,225,0.877
CsAuI4,1,0.008
HgTe2Pb,12,0.343
CuAgBr2,10,0.035
AsPb2Cl,225,0.191
NaY5Te8,12,0.265
GaHF4,13,0.101
Cu2ICl,10,0.424
TbTlTe2,15,0.202
Tl4SeO,13,0.106
BiSeCl,216,0.553
GaH2Cl,10,0.058
KTlO2,15,0.066
YbP2Os,225,0.142
AlAgSe2,164,0.366
TmSbO4,14,0.132
DyTeCl,216,0.328
SmPtI4,2,0.338
PAuS4,13,0.010
TmSnO2,225,0.239
CdBrF,216,0.632
MgIrS2,15,0.261
NiGeI4,13,0.037
CsYF4,13,0.126
TiCoI4,1,0.084
NiGeS2,2,0.138
Li5TlF8,12,0.192
HfTe4Ru,13,0.062
SmTiI4,13,0.058
SiSnPt,216,0.302
ZrPtS4,14,0.060
CsAuCl4,13,0.255
KNaBr2,225,0.144
CaCoI4,13,0.118
YSF,216,0.504
TmCrP2,225,0.463
RbHgO,216,0.579
Rb2HF,15,0.119
TiOF2,164,0.389
VRhF4,13,0.194
TlI2Br,164,0.324
NaRhBr4,13,0.126
Pr2SbP,225,0.492
YAgI4,13,0.238
RbTbBr4,13,0.833
CsWCl4,13,0.000
CeAsCl,216,0.095
ZnIrS4,14,0.621
YbTiSe2,164,0.069
VTeCl2,15,0.088
NbVS4,13,0.532
MgRuI4,13,0.057
